episode,wall_seconds,global.global_obj,global.local_reward,global.utility_factor,utility.acc_beta,utility.auc_beta,utility.f1_macro_beta,utility.f1_minority_beta,fairness.bce_mean_beta,fairness.dp_diff,fairness.eo_alpha_baseline,fairness.eo_tpr_diff,fairness.eod_avg_diff,fairness.eod_max_diff,fairness.group_loss_beta_g0,fairness.group_loss_beta_g1,fairness.group_loss_gap_beta,fairness.n_g0,fairness.n_g1,fairness.soft_eo_beta,fairness.worst_group_beta,fairness.worst_loss_alpha_baseline,fairness.worst_loss_beta,local.anchor_reward_mean,local.anchors_used,local.div_pen_mean,local.hard_reward_mean,local.local_clip_frac_0,local.local_clip_frac_1,local.min_anchor_dist_mean,local.sigma_anchor_used,extra.diag_frac_mid_conf,extra.diag_gen_radius_mean,extra.diag_mean_abs_margin,align.anchor_refresh_count,align.corr_local_delta,align.curriculum_stage,align.delta_global,align.lambda_t,align.ua_warmup_active,meta.avg_reward,meta.episode_return,meta.phase
1,4.47,0.22131650149822235,0.11920292675495148,1.0,0.7458927035331726,0.8287675732492445,0.7254733443260193,0.650602400302887,0.49237722158432007,0.4850441384377331,0.4909640848636627,0.6352941176470588,0.4748232159996866,0.6352941176470588,0.062149740755558014,2.9053738117218018,2.8432240709662437,287,626,0.4922504723072052,1,2.7795727252960205,2.9053738117218018,0.08365343511104584,986,0.01594577729701996,0.057916637510061264,0.0,0.0,1.9805420637130737,0.85,0.06000000238418579,2.884997606277466,0.33229881525039673,0,,0,-2.9053738117218018,1.0,0,0.00011065825674450025,0.22131650149822235,phase1_class1
2,7.72,0.2964269945457937,0.11920292675495148,0.9984662717265441,0.7535597085952759,0.8257405779084928,0.7386599779129028,0.6762589812278748,0.4954196512699127,0.5396466698578442,0.4909640848636627,0.6911764705882353,0.5273231670290494,0.6911764705882353,0.06782154738903046,2.8657915592193604,2.79797001183033,287,626,0.5185328125953674,1,2.7795727252960205,2.8657915592193604,0.0565137043595314,986,0.010392950847744942,0.11944998800754547,0.0,0.0,2.150064468383789,0.85,0.18400001525878906,2.9043731689453125,0.26266399025917053,0,,0,-2.8657915592193604,1.0,0,0.00014821351214777678,0.29642701148986816,phase1_class1
3,10.71,0.992148756980896,0.11920292675495148,1.0,0.7524644136428833,0.8274890593574078,0.7387756109237671,0.6789772510528564,0.49390533566474915,0.5387783727221115,0.4909640848636627,0.6285714285714286,0.49760239760239755,0.6285714285714286,0.09463825076818466,2.29565167427063,2.201013423502445,287,626,0.4246754050254822,1,2.7795727252960205,2.29565167427063,0.05720701068639755,986,0.009513812139630318,0.15936072170734406,0.0,0.0,2.166210174560547,0.85,0.1810000091791153,2.9060943126678467,0.24435867369174957,0,,0,-2.29565167427063,1.0,0,0.0004960743826813996,0.992148756980896,phase1_class1
4,13.7,0.9388950175790697,0.11920292675495148,0.9897527397825283,0.737130343914032,0.8185344086999586,0.7194826006889343,0.6491228342056274,0.5030367970466614,0.49158419699212963,0.4909640848636627,0.6529411764705882,0.49022350198820785,0.6529411764705882,0.10510824620723724,2.4880056381225586,2.3828973919153214,287,626,0.47575822472572327,1,2.7795727252960205,2.4880056381225586,0.04934099689126015,986,0.011102970689535141,0.21862858533859253,0.0,0.0,2.166015148162842,0.85,0.1860000044107437,2.895162582397461,0.25963953137397766,0,,0,-2.4880056381225586,1.0,0,0.00046944755013100803,0.938895046710968,phase1_class1
5,16.65,0.3992255150917805,0.11920292675495148,0.9952216115145718,0.7524644136428833,0.8230572147600133,0.73553466796875,0.6686217188835144,0.49740952253341675,0.5188798966949049,0.4909640848636627,0.6705882352941176,0.50653953889248,0.6705882352941176,0.06601700931787491,2.819643497467041,2.753626488149166,287,626,0.5099780559539795,1,2.7795727252960205,2.819643497467041,0.07634404301643372,986,0.009795334190130234,0.06508222222328186,0.0,0.0,2.0628421306610107,0.85,0.1080000028014183,2.8800861835479736,0.3180619776248932,0,,0,-2.819643497467041,1.0,0,0.00019961275393143296,0.39922550320625305,phase1_class1
6,19.61,0.44717257976883085,0.11920292675495148,0.994256157063552,0.7491785883903503,0.8222587752544395,0.7308916449546814,0.6607407331466675,0.4999780058860779,0.5076977880687068,0.4909640848636627,0.6558823529411765,0.495690094219506,0.6558823529411765,0.07223554700613022,2.7997384071350098,2.7275028601288795,287,626,0.4965086579322815,1,2.7795727252960205,2.7997384071350098,0.061418578028678894,986,0.012217115610837936,0.18867157399654388,0.0,0.0,2.110569715499878,0.85,0.15600000321865082,2.9132442474365234,0.26441317796707153,0,,0,-2.7997384071350098,1.0,0,0.00022358630667440593,0.4471725821495056,phase1_class1
7,22.56,0.43387067388155487,0.11920292675495148,0.9981546376948857,0.7491785883903503,0.8254828537642884,0.7328065633773804,0.6666666269302368,0.4961572587490082,0.521785352495241,0.4909640848636627,0.6735294117647059,0.5114233805410277,0.6735294117647059,0.06909272819757462,2.805853843688965,2.7367611154913902,287,626,0.5022430419921875,1,2.7795727252960205,2.805853843688965,0.06660640984773636,986,0.008467309176921844,0.12478616833686829,0.0,0.0,2.0675816535949707,0.85,0.18550001084804535,2.9005978107452393,0.2634129226207733,0,,0,-2.805853843688965,1.0,0,0.00021693535381928086,0.43387067317962646,phase1_class1
8,25.52,0.14837748460287045,0.11920292675495148,0.9943783664877318,0.7458927035331726,0.8223598435462843,0.7258257865905762,0.6516516208648682,0.5028202533721924,0.49332079126359496,0.4909640848636627,0.638235294117647,0.481621809562986,0.638235294117647,0.06201815977692604,2.953648805618286,2.89163064584136,287,626,0.5148495435714722,1,2.7795727252960205,2.953648805618286,0.07894763350486755,986,0.00924149714410305,0.0732254683971405,0.0,0.0,2.0445070266723633,0.85,0.13050000369548798,2.885977268218994,0.2879480719566345,0,,0,-2.953648805618286,1.0,0,7.418874156428501e-05,0.14837747812271118,phase1_class1
9,28.47,0.3634054296316957,0.11920292675495148,0.9976963523542117,0.7502738237380981,0.8251038476698705,0.7315703630447388,0.660714328289032,0.4935353696346283,0.5029054558003362,0.4909640848636627,0.6529411764705882,0.4907230024877084,0.6529411764705882,0.06506941467523575,2.8352715969085693,2.7702021822333336,287,626,0.5073590278625488,1,2.7795727252960205,2.8352715969085693,0.07705908268690109,986,0.01090044341981411,0.055688295513391495,0.0,0.0,2.0164639949798584,0.85,0.09650000184774399,2.9055380821228027,0.3091045618057251,0,,0,-2.8352715969085693,1.0,0,0.00018170270777773112,0.36340540647506714,phase1_class1
10,31.42,0.8331691917924631,0.11920292675495148,0.9986068125643508,0.7524644136428833,0.8258568064441143,0.7393221259117126,0.6807909607887268,0.4955054819583893,0.5502499137268871,0.4909640848636627,0.7088235294117647,0.5412249515190692,0.7088235294117647,0.08327659964561462,2.617908477783203,2.5346318781375885,287,626,0.5187088251113892,1,2.7795727252960205,2.617908477783203,0.06085001677274704,986,0.011346006765961647,0.2087557017803192,0.0,0.0,2.140230894088745,0.85,0.24000000953674316,2.883202075958252,0.21691036224365234,0,,0,-2.617908477783203,1.0,0,0.000416584633057937,0.8331692218780518,phase1_class1
