run,model,attr,a0,a1,seed,pca_components,bias_pct,DP_diff,TPR_a0,FPR_a0,TPR_a1,FPR_a1,EO_TPR_diff,EO_FPR_diff,AvgOdds_diff,PPV_a0,PPV_a1,PPV_diff,support_a0,acc_a0,auc_a0,brier_a0,support_a1,acc_a1,auc_a1,brier_a1
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,alpha,age,<40,>=40,82.5,10.0,0.2,0.31252900675111167,0.37715263745212174,0.0437004845375817,0.6585295959158117,0.28942119073481287,0.28137695846369004,0.2457207061972312,0.26354883233046056,0.598663101604278,0.49937765158694286,0.14661047012996592,3527.0,0.8836721218013014,0.868741499115416,0.08561538406038029,2653.0,0.6955612502314172,0.7454362081507292,0.2031116873404697
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,alpha,native-country,United-States,Non-US,82.5,10.0,0.2,0.044191234373139376,0.5574310136167907,0.13965229308388705,0.5733398917855386,0.10868412097920295,0.015908878168747864,0.030968172104684083,0.023438525136715974,0.508077787292124,0.4927867188632739,0.015291068428850169,5531.5,0.7981783179479482,0.8243393618750205,0.13909113162870487,648.5,0.8419128838324265,0.8418761559589537,0.11088067524170761
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,alpha,race,White,Non-White,82.5,10.0,0.2,0.10045160764744794,0.5682918616304826,0.14581849133095862,0.4639316365788695,0.08556663290779959,0.10436022505161313,0.06025185842315903,0.08230604173738608,0.512517483106958,0.4474568299402002,0.0650606531667578,5276.0,0.7934960352850202,0.8248971944521154,0.1410870110182088,904.0,0.8567653555062009,0.8163221147200672,0.10726471526313221
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,alpha,sex,Male,Female,82.5,10.0,0.2,0.20639724802632484,0.6008786279299715,0.18312301203481007,0.32548682703321874,0.05847411643471463,0.27539180089675275,0.12464889560009546,0.20002034824842407,0.5270222744493512,0.37896209420873095,0.14806018024062026,4129.5,0.7618969443243906,0.805848543423564,0.1617055991108538,2050.5,0.8850138310448088,0.8320876899645797,0.08465112140760811
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,beta,age,<40,>=40,82.5,10.0,0.2,0.3496562615708808,0.4953830764745504,0.06416076362617051,0.7401419191189456,0.3546065612858563,0.24475884264439515,0.2904457976596858,0.26760232015204044,0.5574477927570711,0.474153999169858,0.11682666134023381,3527.0,0.8808522274215315,0.8726644904867591,0.08877425262908822,2653.0,0.6738948414449075,0.7452223731852428,0.22008828850740592
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,beta,native-country,United-States,Non-US,82.5,10.0,0.2,0.059986479218192,0.6544524910552721,0.1780941383533005,0.6428922774225283,0.13698232550691566,0.03928289456821138,0.04111181284638486,0.04019735370729812,0.48626317888901877,0.46360662441218564,0.022656554476833124,5531.5,0.7875106430486528,0.8271324811609606,0.14816397080663152,648.5,0.8288485502834748,0.8454002793850229,0.1203006983905147
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,beta,race,White,Non-White,82.5,10.0,0.2,0.12130999729699045,0.6648935066676029,0.18562228169956507,0.5409514649304528,0.1097375516865457,0.12394204173715012,0.07588473001301937,0.09991338587508475,0.49050926228401437,0.421968787515006,0.06854047476900835,5276.0,0.7825978605178334,0.8270154289993532,0.15065770324672134,904.0,0.8457009477310133,0.8239396427496016,0.11367287205287663
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,beta,sex,Male,Female,82.5,10.0,0.2,0.24727777179362898,0.69537929680684,0.23447292615618928,0.42127720504009164,0.07233766862147284,0.2741020917667484,0.16213525753471644,0.2181186746507324,0.5015704110529478,0.395947242206235,0.10562316884671274,4129.5,0.7475113956697335,0.807389929377191,0.173046022507511,2050.5,0.8811747944371371,0.8380694460897684,0.08923215236790301
