run,seed_dir,seed,model,pca_components,bias_pct,attr,a0,a1,DP_diff,TPR_a0,FPR_a0,TPR_a1,FPR_a1,EO_TPR_diff,EO_FPR_diff,AvgOdds_diff,PPV_a0,PPV_a1,PPV_diff,support_a0,acc_a0,auc_a0,brier_a0,support_a1,acc_a1,auc_a1,brier_a1
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,alpha,10,0.2,sex,Male,Female,0.17426905318462538,0.5549242424242424,0.1880313930673643,0.37777777777777777,0.08218451749734888,0.17714646464646466,0.10584687557001542,0.14149667010824005,0.5047372954349698,0.30493273542600896,0.19980456000896085,4114,0.7459893048128342,0.7807981920248925,0.17024002211653427,2066,0.8707647628267183,0.7833480617414869,0.09327967890782281
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,alpha,10,0.2,race,White,Non-White,0.10314053049147706,0.541259982253771,0.15694310511089682,0.4036697247706422,0.0992462311557789,0.1375902574831288,0.057696873955117925,0.09764356571912336,0.4837430610626487,0.35772357723577236,0.12601948382687633,5275,0.7785781990521327,0.7980603859505313,0.14954060473415556,905,0.8408839779005525,0.7750103729657462,0.11520063827437942
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,alpha,10,0.2,age,<40,>=40,0.40643275072221235,0.2746478873239437,0.017179902755267422,0.662962962962963,0.3641742872512103,0.3883150756390193,0.3469943844959429,0.36765473006748106,0.6882352941176471,0.44233937397034595,0.2458959201473011,3511,0.8968954713756765,0.8548717480463548,0.07970250507243523,2669,0.6440614462345448,0.6924182654951885,0.22976686860309625
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,alpha,10,0.2,native-country,United-States,Non-US,0.05143615024254339,0.5267309377738826,0.15211459754433834,0.5578947368421052,0.11172161172161173,0.031163799068222642,0.040392985822726615,0.03577839244547463,0.4732283464566929,0.4649122807017544,0.00831606575493854,5539,0.781729554071132,0.7955569199448878,0.1481728297225638,641,0.8393135725429017,0.8202621939464044,0.11287669856115926
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,beta,10,0.2,sex,Male,Female,0.19480361488478645,0.6306818181818182,0.22531066056245913,0.46111111111111114,0.1033934252386002,0.1695707070707071,0.12191723532385892,0.145743971197283,0.4915129151291513,0.29856115107913667,0.19295176405001463,4114,0.7377248420029169,0.7777590943773907,0.18149603170248083,2066,0.8586640851887706,0.7900141392718275,0.10197431669316721
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,beta,10,0.2,race,White,Non-White,0.11927522191092141,0.6184560780834073,0.19021215043394407,0.47706422018348627,0.11934673366834171,0.14139185789992104,0.07086541676560236,0.1061286373327617,0.4690444145356662,0.35374149659863946,0.11530291793702674,5275,0.7689099526066351,0.7972610997356889,0.16028545980897985,905,0.8320441988950277,0.7812802544834262,0.1235887427842219
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,beta,10,0.2,age,<40,>=40,0.44037190187153596,0.3826291079812207,0.03144246353322528,0.7234567901234568,0.42334588488434644,0.3408276821422361,0.39190342135112116,0.3663655517466786,0.6269230769230769,0.42680262199563,0.2001204549274469,3511,0.8974651096553689,0.856218564765144,0.08120602667703639,2669,0.621206444361184,0.6853884007730161,0.25186933422593283
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_123,123,beta,10,0.2,native-country,United-States,Non-US,0.06157810493679902,0.6038562664329535,0.18417462482946795,0.631578947368421,0.13553113553113552,0.02772268093546748,0.048643489298332426,0.038183085116899954,0.45963975983989325,0.44776119402985076,0.011878565810042485,5539,0.7721610398988987,0.7957676563205569,0.1584460618128062,641,0.8299531981279251,0.8209947946790053,0.1243695418579655
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_42,42,alpha,10,0.2,sex,Male,Female,0.2385254428680243,0.6468330134357005,0.17821463100225587,0.27319587628865977,0.03476371537208039,0.3736371371470408,0.14345091563017548,0.25854402638860813,0.5493072534637327,0.452991452991453,0.09631580047227967,4145,0.777804583835947,0.8308988948222357,0.1531711761051733,2035,0.8992628992628993,0.8808273181876725,0.0760225639073934
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_42,42,alpha,10,0.2,race,White,Non-White,0.09776268480341882,0.5953237410071942,0.1346938775510204,0.5241935483870968,0.07188703465982028,0.07113019262009745,0.06280684289120013,0.0669685177556488,0.5412919051512673,0.5371900826446281,0.004101822506639263,5277,0.8084138715179079,0.8517340029536995,0.13263341730226205,903,0.8726467331118494,0.8576338564743882,0.099328792251885
EP6000_PCA10_REWlocal_gauss_minID1_majID0_TRJ2000_REAL3000_BIAS0.35_G202512151601_01804334,seed_42,42,alpha,10,0.2,age,<40,>=40,0.21862526278001101,0.4796573875802998,0.07022106631989597,0.6540962288686606,0.21466809421841543,0.1744388412883608,0.14444702789851946,0.1594429345934401,0.509090909090909,0.5564159292035398,0.047325020112630733,3543,0.8704487722269263,0.8826112501844772,0.09152826304832534,2637,0.7470610542282897,0.7984541508062699,0.1764565060778431
