episode,wall_seconds,global.global_obj,global.local_reward,global.utility_factor,utility.acc_beta,utility.auc_beta,utility.f1_macro_beta,utility.f1_minority_beta,fairness.bce_mean_beta,fairness.dp_diff,fairness.eo_alpha_baseline,fairness.eo_tpr_diff,fairness.eod_avg_diff,fairness.eod_max_diff,fairness.group_loss_beta_g0,fairness.group_loss_beta_g1,fairness.group_loss_gap_beta,fairness.n_g0,fairness.n_g1,fairness.soft_eo_beta,fairness.worst_group_beta,fairness.worst_loss_alpha_baseline,fairness.worst_loss_beta,local.anchor_reward_mean,local.anchors_used,local.div_pen_mean,local.hard_reward_mean,local.local_clip_frac_0,local.local_clip_frac_1,local.min_anchor_dist_mean,local.sigma_anchor_used,extra.diag_frac_mid_conf,extra.diag_gen_radius_mean,extra.diag_mean_abs_margin,align.anchor_refresh_count,align.corr_local_delta,align.curriculum_stage,align.delta_global,align.lambda_t,align.ua_warmup_active,meta.avg_reward,meta.episode_return,meta.phase
11,44.3,0.7267103425512814,0.11920292675495148,0.9705453759154624,0.75,0.6968795882204033,0.5466400980949402,0.24300341308116913,0.5172039866447449,0.10960280471736326,0.1814098209142685,0.15274603552950744,0.11979174600987241,0.15274603552950744,0.1219959631562233,2.0514092445373535,1.9294132813811302,915,3521,0.16017407178878784,1,2.1606128215789795,2.0514092445373535,0.07596181333065033,664,0.008550247177481651,0.8402185440063477,0.0,0.0,2.0122878551483154,0.85,0.0035000001080334187,2.875814914703369,0.39614203572273254,0,,0,-2.0514092445373535,1.0,0,0.0003633552114479244,0.7267103791236877,phase1_class1
12,47.62,0.8457398403502524,0.11920292675495148,0.9813899047636955,0.7551848888397217,0.7046662728883638,0.5657251477241516,0.2788844406604767,0.5091924071311951,0.12537794311414885,0.1814098209142685,0.1854993620392311,0.14030837251485748,0.1854993620392311,0.1282716691493988,1.9775995016098022,1.8493278324604034,915,3521,0.1689772605895996,1,2.1606128215789795,1.9775995016098022,0.08051715791225433,664,0.01042928360402584,0.8038305044174194,0.0,0.0,2.0016965866088867,0.85,0.004500000271946192,2.868833303451538,0.3724898099899292,0,,0,-1.9775995016098022,1.0,0,0.00042286995449103415,0.8457398414611816,phase1_class1
13,50.99,0.8175904792997957,0.11920292675495148,0.9864231857625014,0.750450849533081,0.7082803138975613,0.5566245317459106,0.2634730339050293,0.5097808241844177,0.12590281884027607,0.1814098209142685,0.1879390361884999,0.14329707751402018,0.1879390361884999,0.1235467791557312,2.0028674602508545,1.8793206810951233,915,3521,0.18983250856399536,1,2.1606128215789795,2.0028674602508545,0.07597354799509048,664,0.009428947232663631,0.8340948820114136,0.0,0.0,2.0433928966522217,0.85,0.0,2.888343334197998,0.39216166734695435,0,,0,-2.0028674602508545,1.0,0,0.00040879525477066636,0.8175904750823975,phase1_class1
14,54.33,0.7032181499696962,0.11920292675495148,0.9858506789386432,0.7515780329704285,0.7078692374764436,0.549254834651947,0.24726775288581848,0.5092361569404602,0.11620332648915252,0.1814098209142685,0.18526100307062435,0.13763416158401323,0.18526100307062435,0.11401659995317459,2.069460868835449,1.9554442688822746,915,3521,0.18078367412090302,1,2.1606128215789795,2.069460868835449,0.09209921956062317,664,0.01085309311747551,0.7855652570724487,0.0,0.0,1.9310094118118286,0.85,0.009000000543892384,2.867098093032837,0.3606190085411072,0,,0,-2.069460868835449,1.0,0,0.00035160910920239985,0.7032181620597839,phase1_class1
15,57.66,0.7314684650073471,0.11920292675495148,0.978373226658644,0.7511271238327026,0.7025002109526621,0.5469454526901245,0.2427983582019806,0.5106472969055176,0.11312235874371258,0.1814098209142685,0.15172249407607857,0.1212621904342657,0.15172249407607857,0.12346923351287842,2.0520076751708984,1.92853844165802,915,3521,0.1753201186656952,1,2.1606128215789795,2.0520076751708984,0.06258594989776611,664,0.011508332565426826,0.8307512998580933,0.0,0.0,2.0685031414031982,0.85,0.002500000176951289,2.895296812057495,0.38998836278915405,0,,0,-2.0520076751708984,1.0,0,0.00036573424586094916,0.7314684391021729,phase1_class1
16,61.0,0.9081700670662634,0.11920292675495148,0.9845452536971053,0.7524797320365906,0.7069319044806346,0.5552650690078735,0.2591093182563782,0.5082740187644958,0.11856169772931498,0.1814098209142685,0.18179778746792669,0.13648797483765476,0.18179778746792669,0.13649842143058777,1.9130353927612305,1.7765369713306427,915,3521,0.17802831530570984,1,2.1606128215789795,1.9130353927612305,0.07369523495435715,664,0.010775319300591946,0.8142513632774353,0.0,0.0,2.04237961769104,0.85,0.012000000104308128,2.892097234725952,0.37926337122917175,0,,0,-1.9130353927612305,1.0,0,0.00045408503501676023,0.9081700444221497,phase1_class1
17,64.37,0.8457264763466562,0.11920292675495148,0.9802852388428742,0.7563120126724243,0.7038730908784069,0.5450177192687988,0.23496107757091522,0.5103265643119812,0.09483427305022325,0.1814098209142685,0.14046353808836107,0.10578886206917343,0.14046353808836107,0.13575713336467743,1.9767932891845703,1.8410361558198929,915,3521,0.15523414313793182,1,2.1606128215789795,1.9767932891845703,0.07305709272623062,664,0.008386307395994663,0.7920084595680237,0.0,0.0,2.0411922931671143,0.85,0.029500002041459084,2.8723790645599365,0.36550530791282654,0,,0,-1.9767932891845703,1.0,0,0.0004228632606100291,0.845726490020752,phase1_class1
18,67.7,0.8291011625551843,0.11920292675495148,0.9856217153816503,0.7540577054023743,0.7077048350350181,0.5597608089447021,0.2672934830188751,0.5070171356201172,0.12192667569912298,0.1814098209142685,0.17424040605151359,0.1342900143465115,0.17424040605151359,0.1256982833147049,1.9938973188400269,1.868199035525322,915,3521,0.1801423579454422,1,2.1606128215789795,1.9938973188400269,0.07157312333583832,664,0.014646326191723347,0.8543641567230225,0.0,0.0,2.088008403778076,0.85,0.0,2.885554790496826,0.40533673763275146,0,,0,-1.9938973188400269,1.0,0,0.0004145506245549768,0.8291012048721313,phase1_class1
19,71.03,0.9088763895998803,0.11920292675495148,0.9857114205220291,0.751803457736969,0.7077692459145501,0.5667836666107178,0.28366947174072266,0.5089761018753052,0.13418226006955924,0.1814098209142685,0.193687693666662,0.14892297858014525,0.193687693666662,0.13780806958675385,1.9135578870773315,1.7757498174905777,915,3521,0.18363666534423828,1,2.1606128215789795,1.9135578870773315,0.060474544763565063,664,0.011801800690591335,0.8005121946334839,0.0,0.0,2.12190580368042,0.85,0.013500000350177288,2.877610921859741,0.37034183740615845,0,,0,-1.9135578870773315,1.0,0,0.0004544382099993527,0.908876359462738,phase1_class1
20,74.4,0.6891053984048512,0.11920292675495148,0.9828306711668093,0.7531560063362122,0.7057007847439035,0.5523632764816284,0.25255972146987915,0.5089242458343506,0.11373352391505766,0.1814098209142685,0.15991082570350948,0.12436945025894636,0.15991082570350948,0.11980686336755753,2.0753378868103027,1.9555310234427452,915,3521,0.18143996596336365,1,2.1606128215789795,2.0753378868103027,0.06235000118613243,664,0.008505692705512047,0.8227919340133667,0.0,0.0,2.083773136138916,0.85,0.001500000013038516,2.8553762435913086,0.38481470942497253,0,,0,-2.0753378868103027,1.0,0,0.000344552710885182,0.6891053915023804,phase1_class1
