epoch,train_loss,val_worst_group_loss,p0,p1,p2,p3,val_group0_loss,val_group1_loss,val_group2_loss,val_group3_loss
5,0.9541915655136108,1.905624270439148,0.23896655440330505,0.26283490657806396,0.24180439114570618,0.25639408826828003,0.22189205884933472,1.905624270439148,0.4137176275253296,1.4343667030334473
10,0.9650386571884155,1.566325068473816,0.23089073598384857,0.2732046842575073,0.23668356239795685,0.2592209577560425,0.3303168714046478,1.566325068473816,0.5765503644943237,1.0984224081039429
15,0.7930797934532166,1.277944564819336,0.22514690458774567,0.2798570394515991,0.23519247770309448,0.2598035931587219,0.4530664384365082,1.277944564819336,0.7515447735786438,0.8389660716056824
20,0.823688268661499,1.0541795492172241,0.22131502628326416,0.28338688611984253,0.23621201515197754,0.25908610224723816,0.5741716027259827,1.0541795492172241,0.9127179384231567,0.6496612429618835
25,0.7894752025604248,1.0326536893844604,0.21939785778522491,0.28595060110092163,0.23886802792549133,0.2557835578918457,0.674994170665741,0.8920132517814636,1.0326536893844604,0.5338371992111206
30,0.7862066626548767,1.0811775922775269,0.2181919813156128,0.2868620753288269,0.24318473041057587,0.2517612874507904,0.7385949492454529,0.7966490983963013,1.0811775922775269,0.48447784781455994
35,0.6713870167732239,1.081977367401123,0.21797187626361847,0.2868539094924927,0.24670127034187317,0.2484729290008545,0.7646543383598328,0.7432513236999512,1.081977367401123,0.4684782028198242
40,0.6987805366516113,1.0453208684921265,0.21763159334659576,0.28622519969940186,0.25159192085266113,0.24455131590366364,0.7585820555686951,0.720633864402771,1.0453208684921265,0.4769905209541321
45,0.6529761552810669,0.9741052985191345,0.21748147904872894,0.2851705253124237,0.2563914358615875,0.24095657467842102,0.7248653173446655,0.7260560393333435,0.9741052985191345,0.510027289390564
50,0.7362825870513916,0.9090916514396667,0.21700237691402435,0.28415289521217346,0.2595920264720917,0.2392527461051941,0.6960711479187012,0.735588550567627,0.9090916514396667,0.5462915897369385
55,0.6950811743736267,0.8741050958633423,0.21662837266921997,0.2840452492237091,0.2612766921520233,0.2380496859550476,0.6891747117042542,0.7249937653541565,0.8741050958633423,0.5653151869773865
60,0.6943562626838684,0.8604593276977539,0.21550557017326355,0.28411605954170227,0.2631157636642456,0.23726259171962738,0.6981245875358582,0.7013824582099915,0.8604593276977539,0.5668410062789917
65,0.5903322696685791,0.8559252619743347,0.2158556431531906,0.2839163541793823,0.2642917335033417,0.23593629896640778,0.7165892720222473,0.6758313775062561,0.8559252619743347,0.5608847737312317
70,0.6525353789329529,0.8308737277984619,0.21550655364990234,0.2823011577129364,0.2673271596431732,0.23486517369747162,0.7132354378700256,0.6707688570022583,0.8308737277984619,0.5724753141403198
75,0.6093032360076904,0.8038010001182556,0.2154655158519745,0.2810676395893097,0.26925867795944214,0.2342081069946289,0.7034394145011902,0.6664389371871948,0.8038010001182556,0.585525393486023
80,0.6466698050498962,0.7743215560913086,0.21537436544895172,0.2806165814399719,0.2713285982608795,0.23268049955368042,0.6967805027961731,0.6640878915786743,0.7743215560913086,0.6046007871627808
85,0.7076811790466309,0.7566298246383667,0.21516574919223785,0.2798987925052643,0.27277785539627075,0.23215754330158234,0.7083288431167603,0.6482558250427246,0.7566298246383667,0.6151461601257324
90,0.6798886060714722,0.7312417030334473,0.21591664850711823,0.27811509370803833,0.2741203010082245,0.23184804618358612,0.7061545252799988,0.6438356637954712,0.7312417030334473,0.6310432553291321
95,0.6067870855331421,0.7092406153678894,0.21641911566257477,0.27717775106430054,0.2749045193195343,0.2314985990524292,0.7092406153678894,0.6429124474525452,0.7075504660606384,0.645149827003479
100,0.5759307742118835,0.7129082679748535,0.21709376573562622,0.2760050296783447,0.2752057909965515,0.23169541358947754,0.7129082679748535,0.6341580748558044,0.6933606266975403,0.6497595310211182
105,0.5321850180625916,0.7128087878227234,0.21775703132152557,0.2743333578109741,0.2762509882450104,0.23165859282016754,0.7128087878227234,0.6261460185050964,0.6799612641334534,0.6534245014190674
110,0.6309999823570251,0.7049881815910339,0.2189728170633316,0.2733331620693207,0.2761518359184265,0.23154217004776,0.7049881815910339,0.6264421343803406,0.6629633903503418,0.6639392971992493
115,0.6593138575553894,0.7103191018104553,0.2186342477798462,0.2727522552013397,0.2765619158744812,0.2320515513420105,0.7103191018104553,0.6156401634216309,0.6566624641418457,0.6652162671089172
120,0.6450002193450928,0.724651575088501,0.21906547248363495,0.2718707323074341,0.2769157588481903,0.23214800655841827,0.724651575088501,0.6041639447212219,0.6454806327819824,0.6707397699356079
125,0.6523903608322144,0.7222272753715515,0.21923235058784485,0.27079981565475464,0.2773255705833435,0.23264233767986298,0.7222272753715515,0.6099916696548462,0.6279925107955933,0.6848690509796143
130,0.6092774868011475,0.7229917049407959,0.22002851963043213,0.2697927951812744,0.2773711681365967,0.23280750215053558,0.7229917049407959,0.6157745718955994,0.6154373288154602,0.6955751776695251
135,0.586735188961029,0.7220642566680908,0.22057689726352692,0.2684004008769989,0.27736175060272217,0.23366092145442963,0.7220642566680908,0.6213433146476746,0.6043915748596191,0.7071152925491333
140,0.6460856199264526,0.7249760627746582,0.2206915020942688,0.2671065926551819,0.27689728140830994,0.235304594039917,0.7249760627746582,0.6258168816566467,0.6037626266479492,0.7063261866569519
145,0.5749951004981995,0.7318276166915894,0.22098882496356964,0.26605525612831116,0.2763005793094635,0.23665541410446167,0.7318276166915894,0.6250128149986267,0.6072453260421753,0.7005027532577515
150,0.6595802307128906,0.7343217134475708,0.2211546152830124,0.26463380455970764,0.276147723197937,0.23806385695934296,0.7343217134475708,0.6308422088623047,0.6037376523017883,0.7026025652885437
