episode,wall_seconds,global.global_obj,global.local_reward,global.utility_factor,utility.acc_beta,utility.auc_beta,utility.f1_macro_beta,utility.f1_minority_beta,fairness.bce_mean_beta,fairness.dp_diff,fairness.eo_alpha_baseline,fairness.eo_tpr_diff,fairness.eod_avg_diff,fairness.eod_max_diff,fairness.group_loss_beta_g0,fairness.group_loss_beta_g1,fairness.group_loss_gap_beta,fairness.n_g0,fairness.n_g1,fairness.soft_eo_beta,fairness.worst_group_beta,fairness.worst_loss_alpha_baseline,fairness.worst_loss_beta,local.anchor_reward_mean,local.anchors_used,local.div_pen_mean,local.hard_reward_mean,local.local_clip_frac_0,local.local_clip_frac_1,local.min_anchor_dist_mean,local.sigma_anchor_used,extra.diag_frac_mid_conf,extra.diag_gen_radius_mean,extra.diag_mean_abs_margin,align.anchor_refresh_count,align.corr_local_delta,align.curriculum_stage,align.delta_global,align.lambda_t,align.ua_warmup_active,meta.avg_reward,meta.episode_return,meta.phase
1,5.21,0.629367321457266,0.11920292675495148,0.9974663820569178,0.7436182498931885,0.823719256399795,0.7243871092796326,0.651583731174469,0.4961148202419281,0.504246471036139,0.44662153720855713,0.6565349544072948,0.4990869677905798,0.6565349544072948,0.05704188346862793,2.551440477371216,2.494398593902588,271,630,0.4985191524028778,1,2.605076789855957,2.551440477371216,0.08955998718738556,990,0.009001958183944225,0.04820270091295242,0.0,0.0,1.953436017036438,0.85,0.10650000721216202,2.870901107788086,0.3020346760749817,0,,0,-2.551440477371216,1.0,0,0.0003146836534142494,0.6293672919273376,phase1_class1
2,8.3,0.5636917918334766,0.11920292675495148,0.9989928868676248,0.7480577230453491,0.8249798616995679,0.7329952120780945,0.6695778965950012,0.4961340129375458,0.542341709131377,0.44662153720855713,0.6990881458966566,0.5369748592163238,0.6990881458966566,0.05495912581682205,2.5792298316955566,2.5242707058787346,271,630,0.5114766359329224,1,2.605076789855957,2.5792298316955566,0.05817444995045662,990,0.012744486331939697,0.013222540728747845,0.0,0.0,2.1163814067840576,0.85,0.04400000348687172,2.8884005546569824,0.370897501707077,0,,0,-2.5792298316955566,1.0,0,0.0002818459179252386,0.5636917948722839,phase1_class1
3,11.33,0.21360226266661703,0.11920292675495148,0.9972573585766132,0.7491676211357117,0.8235466423960914,0.7276970148086548,0.65123450756073,0.49632787704467773,0.4857142857142857,0.44662153720855713,0.6413373860182371,0.47847600197921825,0.6413373860182371,0.04850228503346443,2.7350621223449707,2.6865598373115063,271,630,0.4885656237602234,1,2.605076789855957,2.7350621223449707,0.09273039549589157,990,0.011102830991148949,0.03454357013106346,0.0,0.0,1.9297599792480469,0.85,0.09350000321865082,2.893467903137207,0.3691086769104004,0,,0,-2.7350621223449707,1.0,0,0.00010680113337002695,0.21360225975513458,phase1_class1
4,14.36,0.7243825793266296,0.11920292675495148,1.0,0.7580466270446777,0.8310945820125747,0.7476358413696289,0.696378767490387,0.49289998412132263,0.5915480583377263,0.44662153720855713,0.7598784194528876,0.5856424212436088,0.7598784194528876,0.06583213806152344,2.508446216583252,2.4426140785217285,271,630,0.5217516422271729,1,2.605076789855957,2.508446216583252,0.1102815493941307,990,0.011734794825315475,0.07028276473283768,0.0,0.0,1.8513662815093994,0.85,0.25050002336502075,2.873776912689209,0.2196153998374939,0,,0,-2.508446216583252,1.0,0,0.00036219132016412914,0.7243825793266296,phase1_class1
5,17.44,0.32646748423576355,0.11920292675495148,1.0,0.7536071538925171,0.8270459990166232,0.733232855796814,0.6595091819763184,0.49208053946495056,0.49206349206349204,0.44662153720855713,0.6534954407294833,0.4845550293348413,0.6534954407294833,0.05046252906322479,2.677497386932373,2.6270348578691483,271,630,0.489890456199646,1,2.605076789855957,2.677497386932373,0.0768686830997467,990,0.010308565571904182,0.036401305347681046,0.0,0.0,2.007589101791382,0.85,0.09050000458955765,2.889406204223633,0.33834758400917053,0,,0,-2.677497386932373,1.0,0,0.00016323375166393816,0.32646748423576355,phase1_class1
6,20.56,0.46695512533187866,0.11920292675495148,1.0,0.7480577230453491,0.8260887759051774,0.7255544066429138,0.6469674110412598,0.4923059344291687,0.47250043929010715,0.44662153720855713,0.6322188449848024,0.4669953582620579,0.6322188449848024,0.05206916481256485,2.618314027786255,2.56624486297369,271,630,0.4670880436897278,1,2.605076789855957,2.618314027786255,0.0801301822066307,990,0.010982695966959,0.021721966564655304,0.0,0.0,1.9998506307601929,0.85,0.09800000488758087,2.877068042755127,0.3325783312320709,0,,0,-2.618314027786255,1.0,0,0.00023347757814917713,0.46695512533187866,phase1_class1
7,23.72,0.7652011513710022,0.11920292675495148,1.0,0.7536071538925171,0.8294102877946208,0.7434825897216797,0.692520797252655,0.4929426908493042,0.592619926199262,0.44662153720855713,0.6799158288519991,0.5523056442155898,0.6799158288519991,0.06160316988825798,2.48693585395813,2.425332684069872,271,630,0.4968337416648865,1,2.605076789855957,2.48693585395813,0.08441682904958725,990,0.011016206815838814,0.06737670302391052,0.0,0.0,1.9516390562057495,0.85,0.12150000780820847,2.8882956504821777,0.28195613622665405,0,,0,-2.48693585395813,1.0,0,0.0003826006141025573,0.765201210975647,phase1_class1
8,26.86,0.6875032672460626,0.11920292675495148,0.9995186125908143,0.751387357711792,0.8254140120725187,0.7335699796676636,0.6646707057952881,0.49261435866355896,0.5174603174603175,0.44662153720855713,0.6747720364741642,0.5101434933201385,0.6747720364741642,0.057033028453588486,2.5260753631591797,2.469042334705591,271,630,0.5015544295310974,1,2.605076789855957,2.5260753631591797,0.08193916827440262,990,0.010222814977169037,0.011904727667570114,0.0,0.0,2.011387825012207,0.85,0.05150000378489494,2.8830924034118652,0.3572714328765869,0,,0,-2.5260753631591797,1.0,0,0.0003437516570556909,0.6875032782554626,phase1_class1
9,29.98,0.4913381308210907,0.11920292675495148,0.9991195677647788,0.7491676211357117,0.8250844762472669,0.7334179878234863,0.6686217188835144,0.49748924374580383,0.5344052011948691,0.44662153720855713,0.6930091185410334,0.5289519568341934,0.6930091185410334,0.05587884038686752,2.6083686351776123,2.552489794790745,271,630,0.4971059560775757,1,2.605076789855957,2.6083686351776123,0.07537998259067535,990,0.009821862913668156,0.08143466711044312,0.0,0.0,1.997367262840271,0.85,0.12950000166893005,2.889065742492676,0.2962617576122284,0,,0,-2.6083686351776123,1.0,0,0.0002456690708640963,0.4913381338119507,phase1_class1
10,33.09,0.5764560699462891,0.11920292675495148,1.0,0.7458379864692688,0.8262613899088808,0.7277898788452148,0.6576980948448181,0.49305957555770874,0.5137702805599486,0.44662153720855713,0.668693009118541,0.5084882542824156,0.668693009118541,0.055201418697834015,2.5742526054382324,2.5190511867403984,271,630,0.5001935362815857,1,2.605076789855957,2.5742526054382324,0.06900760531425476,990,0.010338952764868736,0.011915442533791065,0.0,0.0,2.040170431137085,0.85,0.04650000110268593,2.8914740085601807,0.3517763316631317,0,,0,-2.5742526054382324,1.0,0,0.00028822803869843483,0.5764560699462891,phase1_class1
