epoch,diff_loss
1,1.0101080211726101
2,0.997868001461029
3,0.969450977715579
4,0.8823377869345925
5,0.7536528923294761
6,0.6384071978655729
7,0.576418481089852
8,0.5463263175704263
9,0.5038769976659254
10,0.47800939733331854
11,0.44367972016334534
12,0.41216457161036407
13,0.39916803620078345
14,0.36575036428191443
15,0.3566119941798123
16,0.3518719727342779
17,0.3311154706911607
18,0.3211348977955905
19,0.32221565463326196
20,0.30924988876689563
21,0.31933414936065674
22,0.31323887814175
23,0.31036874651908875
24,0.31078300963748584
25,0.3062835091894323
26,0.30824266509576276
27,0.29796910827810114
28,0.2958630350503055
29,0.2944763086058877
30,0.29618579149246216
31,0.30345812710848724
32,0.3031058338555423
33,0.29809005152095447
34,0.29132876883853565
35,0.2944578934799541
36,0.29101793332533404
37,0.28642442551526154
38,0.27478888766332105
39,0.29367262395945465
40,0.2816376902840354
41,0.2811685854738409
42,0.28607911413366144
43,0.28817177360708063
44,0.2781747823411768
45,0.27320090478116815
46,0.26470517976717517
47,0.2751435095613653
48,0.2645816884257577
49,0.2637740590355613
50,0.270878022367304
51,0.2578869705850428
52,0.25210188600150024
53,0.25760980627753516
54,0.24832237173210492
55,0.24881090494719418
56,0.24085218527100302
57,0.2428094040263783
58,0.2472517111084678
59,0.24222596667029642
60,0.22969785468144852
61,0.23213940452445636
62,0.22888572243126956
63,0.23264507272026755
64,0.22522163526578384
65,0.23003983091224323
66,0.21959807114167648
67,0.2156935144554485
68,0.2229356657374989
69,0.21706298806450583
70,0.21628769825805316
71,0.21046220714395697
72,0.2062898508527062
73,0.20169622789729724
74,0.22399693050167777
75,0.20233634927056052
76,0.2073059921914881
77,0.20595329999923706
78,0.210376343943856
79,0.20966281674124979
80,0.203221319751306
81,0.20242206345904956
82,0.19670045240358872
83,0.20201948285102844
84,0.20552968707951633
85,0.19797938791188327
86,0.19553861292925748
87,0.19063423573970795
88,0.19588552144440738
89,0.20268682593649084
90,0.19614496556195346
91,0.1902366971427744
92,0.18385387821630997
93,0.19842191988771612
94,0.1879164143042131
95,0.18771142309362238
96,0.19477555426684293
97,0.18884621560573578
98,0.19100875068794598
99,0.1961545686830174
100,0.19060148840600794
101,0.1907796710729599
102,0.1868955222043124
103,0.19657603989947925
104,0.1846490204334259
105,0.18847389248284427
106,0.18278888951648364
107,0.18468763746998526
108,0.1828703446821733
109,0.18329692970622669
110,0.1736859828233719
111,0.17935904454101215
112,0.18245836279608987
113,0.17533599517562173
114,0.17872452600435776
115,0.17627608505162326
116,0.17791451784697446
117,0.18218802863901312
118,0.17640573328191583
119,0.18104018541899594
120,0.18121626702221957
121,0.17623404616659338
122,0.17461342974142594
123,0.18245950070294467
124,0.167845373803919
125,0.17179543457247995
126,0.16892771829258313
127,0.1794028404084119
128,0.17449784956195138
129,0.17030673677271063
130,0.16720031608234753
131,0.16811723600734363
132,0.16706631806763736
133,0.16606135666370392
134,0.1638685925440355
135,0.16100501743229953
136,0.16153501041910864
137,0.17217303947968918
138,0.16915472800081427
139,0.16067218645052475
140,0.16568502241914923
141,0.16218767247416757
142,0.1695099174976349
143,0.16342148049311203
144,0.1664980026808652
145,0.16663161462003534
146,0.16347429156303406
147,0.17018594389612024
148,0.1626360998912291
149,0.163315087556839
150,0.1593088467012752
151,0.1587088338353417
152,0.15687957406044006
153,0.16029464521191336
154,0.1643251194195314
155,0.16195198758081955
156,0.16281922974369742
157,0.1558232388713143
158,0.1551564782857895
159,0.15115310116247696
160,0.16493692316792227
161,0.16586286506869577
162,0.16223556074229153
163,0.1583306003700603
164,0.15659953518347305
165,0.15958946401422675
166,0.160907351157882
167,0.1557278965007175
168,0.1620447649197145
169,0.16424803029407153
170,0.16665275394916534
171,0.16088160330599005
172,0.156138077378273
173,0.15735081109133633
174,0.16475760801271958
175,0.1554948646913875
176,0.14893211830746045
177,0.15564593198624524
178,0.15741990913044324
179,0.14934513785622336
180,0.15339122848077255
181,0.1612487570805983
182,0.15013717047192834
183,0.15378724851391531
184,0.14884506436911496
185,0.15128785371780396
186,0.1513751596212387
187,0.1429089212959463
188,0.1480584374882958
189,0.15649160878224808
190,0.1583888205614957
191,0.15164466879584573
192,0.1493030474944548
193,0.15403945066712119
194,0.14411821148612283
195,0.14944626120003787
196,0.14278016103939575
197,0.15761971135031094
198,0.16172609545967795
199,0.14849357577887448
200,0.14863067458976398
201,0.1408366398377852
202,0.14748410135507584
203,0.1490274132652716
204,0.1550075885924426
205,0.15241812034086746
206,0.1515293988314542
207,0.14828568696975708
208,0.14299365065314554
209,0.1493055522441864
210,0.15201998976143924
211,0.1475529196587476
212,0.1489864235574549
213,0.14769458161158996
214,0.1465591544454748
215,0.1469223309646953
216,0.13681545582684604
217,0.14110213721340353
218,0.14477397501468658
219,0.14652058617635208
220,0.14814795418219132
221,0.1412044804204594
222,0.1419425146146254
223,0.1446153609590097
224,0.1419644613157619
225,0.14394929666410794
226,0.14384543827988885
227,0.14802301742813803
228,0.14403025264089758
229,0.15380693430250342
230,0.1440515477548946
231,0.13982288539409637
232,0.1349503526633436
233,0.13915289599787106
234,0.14510571279309012
235,0.1409336978738958
236,0.1438104036179456
237,0.1458471891554919
238,0.1456331414255229
239,0.13381591303782028
240,0.13568103110248392
241,0.13929251310500232
242,0.13484384729103607
243,0.144352755763314
244,0.14106166498227554
245,0.13792110979557037
246,0.14326198602264578
247,0.1416957364840941
248,0.14299824969335037
249,0.1504772887988524
250,0.14603294974023645
251,0.1485871279781515
252,0.13663944195617328
253,0.14698500660332767
254,0.14325225082310764
255,0.13709923218597064
256,0.14059666408733887
257,0.1356520652770996
258,0.13733104819601233
259,0.13185983151197433
260,0.14231428774920377
261,0.14280604096976193
262,0.1405456472526897
263,0.1411290934140032
264,0.1352116885510358
265,0.13526299189437518
266,0.1335983317006718
267,0.13834313438697296
268,0.13978500190106305
269,0.12959950823675503
270,0.13758203048597684
271,0.13862521675500003
272,0.13251743397929452
273,0.13655279915441165
274,0.13430416109887036
275,0.13260710645805707
276,0.13182370296933435
277,0.14116554029963232
278,0.12946185063232074
279,0.1381732482801784
280,0.1422107138416984
281,0.1349809169769287
282,0.13021067123521457
283,0.1334424994208596
284,0.1363942169330337
285,0.13864286718043414
286,0.13922882825136185
287,0.13607002320614728
288,0.13823527097702026
289,0.13343653895638205
290,0.13829233023253354
291,0.1362352493134412
292,0.13706786591898312
293,0.13254059512506833
294,0.13003949346867474
295,0.12883082709529184
296,0.1410215449604121
297,0.136636383831501
298,0.13154514540325513
299,0.133733945814046
300,0.130888586694544
301,0.13791931894692508
302,0.14064423062584616
303,0.13246875933625482
304,0.1335181241685694
305,0.13770810853351245
306,0.12822864611040463
307,0.14126929776235062
308,0.1374148658730767
309,0.13516190580346368
310,0.1281202963807366
311,0.1339765109799125
312,0.1323630613359538
313,0.13543126732110977
314,0.13269934464584698
315,0.13239747014912692
316,0.1328883719715205
317,0.13461257381872696
318,0.12992301380092447
319,0.13512381369417364
320,0.1308983781120994
321,0.13345793905583295
322,0.13341627202250742
323,0.13645707070827484
324,0.12913482229817996
325,0.13392808085138147
326,0.12802693112330002
327,0.12870184806260196
328,0.13465123894539746
329,0.12616710635748776
330,0.1352832473137162
331,0.12878438694910568
332,0.13779135793447495
333,0.1353357962586663
334,0.1279454610564492
335,0.13627507334405725
336,0.1337618807500059
337,0.13203240660103885
338,0.1294116811318831
339,0.12967057119716296
340,0.13560707596215335
341,0.13220408016985113
342,0.13086110692132602
343,0.13011355223980817
344,0.13075634972615677
345,0.12885411219163376
346,0.12428157573396509
347,0.13576437803831967
348,0.12194594469937411
349,0.131595140831037
350,0.12473944913257252
351,0.13010671734809875
352,0.13051221519708633
353,0.13210469822991977
354,0.12586183778264307
355,0.12760385329073126
356,0.12667640840465372
357,0.12719770859588275
358,0.12610037150708112
359,0.12417022206566551
360,0.1222167204726826
361,0.12411225519397041
362,0.12483691288666292
363,0.13307733630592172
364,0.13006056709723038
365,0.1289417167956179
366,0.11775283515453339
367,0.13268605755134064
368,0.12978727235035462
369,0.12545424022457816
370,0.12889907441355966
371,0.1252426586367867
372,0.12295360592278567
373,0.1281147761778398
374,0.13166591321880167
375,0.12735833092169327
376,0.12461340901526538
377,0.12201264026490125
378,0.12237947230989282
379,0.12119865620678122
380,0.12339777905832637
381,0.1321371001276103
382,0.13217230141162872
383,0.11839364198121158
384,0.12374721332029863
385,0.1298360458829186
386,0.1249467513777993
387,0.1330148848620328
388,0.12827474556185983
389,0.12207344174385071
390,0.12358592247421091
391,0.12932351163842462
392,0.12339129231192848
393,0.1180003048344092
394,0.12390878390182149
395,0.12708734111352402
396,0.12473815747282722
397,0.12523071603341537
398,0.12397999180988832
399,0.1258946115320379
400,0.12399460984901949
401,0.12254695458845659
402,0.12985443865711038
403,0.1271953575990417
404,0.11853420531207864
