episode,wall_seconds,global.global_obj,global.local_reward,global.utility_factor,utility.acc_beta,utility.auc_beta,utility.f1_macro_beta,utility.f1_minority_beta,fairness.bce_mean_beta,fairness.dp_diff,fairness.eo_alpha_baseline,fairness.eo_tpr_diff,fairness.eod_avg_diff,fairness.eod_max_diff,fairness.group_loss_beta_g0,fairness.group_loss_beta_g1,fairness.group_loss_gap_beta,fairness.n_g0,fairness.n_g1,fairness.soft_eo_beta,fairness.worst_group_beta,fairness.worst_loss_alpha_baseline,fairness.worst_loss_beta,local.anchor_reward_mean,local.anchors_used,local.div_pen_mean,local.hard_reward_mean,local.local_clip_frac_0,local.local_clip_frac_1,local.min_anchor_dist_mean,local.sigma_anchor_used,extra.diag_frac_mid_conf,extra.diag_gen_radius_mean,extra.diag_mean_abs_margin,align.anchor_refresh_count,align.corr_local_delta,align.curriculum_stage,align.delta_global,align.lambda_t,align.ua_warmup_active,meta.avg_reward,meta.episode_return,meta.phase
1,4.45,0.39698684215545654,0.11920292675495148,1.0,0.7725275158882141,0.8528482383580774,0.7544358968734741,0.6877828240394592,0.45906928181648254,0.49310344827586206,0.42985814809799194,0.6021619330224672,0.4459124818489711,0.6021619330224672,0.0440625362098217,2.695176601409912,2.6511140652000904,290,620,0.45434606075286865,1,2.6533730030059814,2.695176601409912,0.05370726436376572,993,0.01502135582268238,0.22307100892066956,0.0,0.0,2.229487895965576,0.85,0.18200001120567322,2.912734270095825,0.24759919941425323,0,,0,-2.695176601409912,1.0,0,0.0001984934351639822,0.39698684215545654,phase1_class1
2,7.48,0.7446667322818565,0.11920292675495148,0.9942886392413586,0.7560439705848694,0.8464519976147882,0.742595911026001,0.6837607026100159,0.4674983024597168,0.5509454949944382,0.42985814809799194,0.5633743111487919,0.47422185112414755,0.5633743111487919,0.0499190129339695,2.544074058532715,2.4941550455987453,290,620,0.4346606433391571,1,2.6533730030059814,2.544074058532715,0.04379189386963844,993,0.013868371024727821,0.37703174352645874,0.0,0.0,2.2181880474090576,0.85,0.15600000321865082,2.9170446395874023,0.2565305233001709,0,,0,-2.544074058532715,1.0,0,0.00037233339389786124,0.7446667551994324,phase1_class1
3,10.48,0.9170188903808594,0.11920292675495148,1.0,0.7582417726516724,0.8520582644017349,0.7467310428619385,0.6927374601364136,0.45879700779914856,0.5735261401557286,0.42985814809799194,0.5871131835523526,0.4966919940397089,0.5871131835523526,0.060688406229019165,2.413121461868286,2.352433055639267,290,620,0.43747836351394653,1,2.6533730030059814,2.413121461868286,0.04499942064285278,993,0.01843392848968506,0.3620903491973877,0.0,0.0,2.2178375720977783,0.85,0.20000000298023224,2.917550563812256,0.24839924275875092,0,,0,-2.413121461868286,1.0,0,0.0004585094575304538,0.9170188903808594,phase1_class1
4,13.48,0.6293357014656067,0.11920292675495148,1.0,0.7714285850524902,0.8522978048917225,0.7552447319030762,0.6923076510429382,0.4607957899570465,0.514071190211346,0.42985814809799194,0.5455701568461213,0.4335624635820713,0.5455701568461213,0.047950468957424164,2.600436210632324,2.5524857416749,290,620,0.4433746039867401,1,2.6533730030059814,2.600436210632324,0.03584903106093407,993,0.016529805958271027,0.31607428193092346,0.0,0.0,2.2694835662841797,0.85,0.21250000596046448,2.9223697185516357,0.23874802887439728,0,,0,-2.600436210632324,1.0,0,0.00031466787913814187,0.6293357014656067,phase1_class1
5,16.44,0.7087617222611433,0.11920292675495148,0.9968330085520739,0.7747253179550171,0.8486180552370175,0.7583333253860474,0.6953937411308289,0.4629483222961426,0.5041713014460512,0.42985814809799194,0.5455701568461213,0.4246837315699854,0.5455701568461213,0.050823260098695755,2.5633418560028076,2.512518595904112,290,620,0.4184606671333313,1,2.6533730030059814,2.5633418560028076,0.0336744487285614,993,0.017599739134311676,0.41001179814338684,0.0,0.0,2.3055312633514404,0.85,0.16100001335144043,2.9186651706695557,0.2662217617034912,0,,0,-2.5633418560028076,1.0,0,0.00035438089980743825,0.7087617516517639,phase1_class1
6,19.42,0.9716432094573975,0.11920292675495148,1.0,0.7725275158882141,0.8523385777410822,0.755975604057312,0.6924219727516174,0.45811179280281067,0.49911012235817576,0.42985814809799194,0.4682068673166596,0.3877688712575514,0.4682068673166596,0.05927034094929695,2.2999606132507324,2.2406902723014355,290,620,0.4071657955646515,1,2.6533730030059814,2.2999606132507324,0.03327056020498276,993,0.023228084668517113,0.37954896688461304,0.0,0.0,2.3089230060577393,0.85,0.20550000667572021,2.928138256072998,0.23567789793014526,0,,0,-2.2999606132507324,1.0,0,0.0004858216270804405,0.9716432094573975,phase1_class1
7,22.43,0.6653416081172628,0.11920292675495148,0.9995929009102854,0.7626373767852783,0.8509675906813653,0.7492856979370117,0.691428542137146,0.461921364068985,0.5426585094549499,0.42985814809799194,0.5693090292496821,0.46654369371021004,0.5693090292496821,0.048627737909555435,2.5845322608947754,2.53590452298522,290,620,0.4464971423149109,1,2.6533730030059814,2.5845322608947754,0.04296356439590454,993,0.022808153182268143,0.27299726009368896,0.0,0.0,2.230343818664551,0.85,0.2435000091791153,2.921316385269165,0.22151200473308563,0,,0,-2.5845322608947754,1.0,0,0.0003326708101667464,0.6653416156768799,phase1_class1
8,25.38,0.7622747025281313,0.11920292675495148,0.9995150731431341,0.7615385055541992,0.8509013348011559,0.7468783855438232,0.6859623789787292,0.46089908480644226,0.5332035595105673,0.42985814809799194,0.5544722339974566,0.45563653693010536,0.5544722339974566,0.04577275365591049,2.536649703979492,2.4908769503235817,290,620,0.4303320050239563,1,2.6533730030059814,2.536649703979492,0.03643177077174187,993,0.020214736461639404,0.1832435429096222,0.0,0.0,2.2697107791900635,0.85,0.16300000250339508,2.9238569736480713,0.262472540140152,0,,0,-2.536649703979492,1.0,0,0.00038113738992251456,0.7622747421264648,phase1_class1
9,28.35,0.522348222441157,0.11920292675495148,0.9997006624340333,0.7725275158882141,0.8510593295924244,0.7577157020568848,0.697810173034668,0.4609977602958679,0.5235261401557285,0.42985814809799194,0.5604069520983468,0.44446962036217585,0.5604069520983468,0.04894951358437538,2.644365072250366,2.595415558665991,290,620,0.43424442410469055,1,2.6533730030059814,2.644365072250366,0.05582999810576439,993,0.018569286912679672,0.2223888635635376,0.0,0.0,2.1761956214904785,0.85,0.2565000057220459,2.9146666526794434,0.1947154402732849,0,,0,-2.644365072250366,1.0,0,0.00026117413653992116,0.5223482251167297,phase1_class1
10,31.31,0.6983344751281665,0.11920292675495148,0.9974975379485198,0.7659341096878052,0.8491837785218823,0.7531617283821106,0.6970127820968628,0.46229323744773865,0.5424360400444939,0.42985814809799194,0.5038151759220009,0.43379676704636944,0.5038151759220009,0.055358272045850754,2.5686020851135254,2.5132438130676746,290,620,0.4414396286010742,1,2.6533730030059814,2.5686020851135254,0.051201172173023224,993,0.01622103899717331,0.32921895384788513,0.0,0.0,2.1692709922790527,0.85,0.19950000941753387,2.9266932010650635,0.22740793228149414,0,,0,-2.5686020851135254,1.0,0,0.000349167239619419,0.6983344554901123,phase1_class1
11,34.27,0.8473628491728751,0.11920292675495148,0.9991139608047388,0.7637363076210022,0.850559862187769,0.7523652911186218,0.6993007063865662,0.4601934552192688,0.5719132369299221,0.42985814809799194,0.5930479016532428,0.49435899973326347,0.5930479016532428,0.05137671157717705,2.48138427734375,2.430007565766573,290,620,0.4398946762084961,1,2.6533730030059814,2.48138427734375,0.04092228785157204,993,0.01577216200530529,0.35536354780197144,0.0,0.0,2.245732069015503,0.85,0.18050001561641693,2.9212229251861572,0.23877842724323273,0,,0,-2.48138427734375,1.0,0,0.00042368145659565926,0.8473628759384155,phase1_class1
12,37.23,0.9332139650620938,0.11920292675495148,0.9932110240038793,0.7626373767852783,0.845534608504197,0.7495527863502502,0.692307710647583,0.46481889486312866,0.5408231368186874,0.42985814809799194,0.5722763883001272,0.46621577903253403,0.5722763883001272,0.06434246897697449,2.378939151763916,2.3145966827869415,290,620,0.40078112483024597,1,2.6533730030059814,2.378939151763916,0.044893778860569,993,0.016067449003458023,0.41198182106018066,0.0,0.0,2.207176923751831,0.85,0.15450000762939453,2.9150943756103516,0.2652813196182251,0,,0,-2.378939151763916,1.0,0,0.00046660698717460036,0.9332139492034912,phase1_class1
13,40.19,0.5889153767677473,0.11920292675495148,0.9954321087433509,0.7626373767852783,0.847425449393249,0.7461370229721069,0.6814159154891968,0.464288592338562,0.507174638487208,0.42985814809799194,0.536668079694786,0.43078858995749697,0.536668079694786,0.05073033273220062,2.616307258605957,2.5655769258737564,290,620,0.41573745012283325,1,2.6533730030059814,2.616307258605957,0.04307663440704346,993,0.01724260300397873,0.3896103501319885,0.0,0.0,2.223428726196289,0.85,0.2200000137090683,2.921098232269287,0.22760863602161407,0,,0,-2.616307258605957,1.0,0,0.0002944576845038682,0.5889153480529785,phase1_class1
14,43.14,0.9197396636009216,0.11920292675495148,1.0,0.7681319117546082,0.8521041338572645,0.7524556517601013,0.6901615262031555,0.45757871866226196,0.5170745272525028,0.42985814809799194,0.5485375158965664,0.43853490226128566,0.5485375158965664,0.055216770619153976,2.409491539001465,2.354274768382311,290,620,0.410241037607193,1,2.6533730030059814,2.409491539001465,0.04594225436449051,993,0.01612112671136856,0.39928168058395386,0.0,0.0,2.251037120819092,0.85,0.13450001180171967,2.8992257118225098,0.2780565321445465,0,,0,-2.409491539001465,1.0,0,0.0004598698578774929,0.9197396636009216,phase1_class1
15,46.11,0.5408930575653399,0.11920292675495148,0.9983237096305875,0.7670329809188843,0.8498871101733356,0.7496170997619629,0.683582067489624,0.46377599239349365,0.49933259176863176,0.42985814809799194,0.5307333615938958,0.4207989028484663,0.5307333615938958,0.04793078079819679,2.636613368988037,2.5886825881898403,290,620,0.42195188999176025,1,2.6533730030059814,2.636613368988037,0.03188847750425339,993,0.019530687481164932,0.31871840357780457,0.0,0.0,2.318399429321289,0.85,0.19550001621246338,2.933138847351074,0.2511785924434662,0,,0,-2.636613368988037,1.0,0,0.0002704465587157756,0.5408930778503418,phase1_class1
16,49.08,0.6984239698675319,0.11920292675495148,0.9989523185191171,0.7593407034873962,0.8504222538211805,0.747758150100708,0.6937062740325928,0.46176964044570923,0.5668520578420467,0.42985814809799194,0.5871131835523526,0.49134683093221665,0.5871131835523526,0.054185934364795685,2.569044589996338,2.514858655631542,290,620,0.4513593912124634,1,2.6533730030059814,2.569044589996338,0.05088600888848305,993,0.017995670437812805,0.28347569704055786,0.0,0.0,2.1688575744628906,0.85,0.22750000655651093,2.908493757247925,0.22972677648067474,0,,0,-2.569044589996338,1.0,0,0.000349211972206831,0.6984239220619202,phase1_class1
17,52.05,0.5444423179180188,0.11920292675495148,0.9973598426681752,0.7670329809188843,0.8490665565799734,0.7493034601211548,0.682634711265564,0.46335774660110474,0.4961067853170189,0.42985814809799194,0.5277660025434505,0.41754843887094684,0.5277660025434505,0.0489424429833889,2.634967803955078,2.5860253609716892,290,620,0.41897833347320557,1,2.6533730030059814,2.634967803955078,0.04598559811711311,993,0.01781429350376129,0.2301899492740631,0.0,0.0,2.177802801132202,0.85,0.24900001287460327,2.937161445617676,0.2144843488931656,0,,0,-2.634967803955078,1.0,0,0.0002722211938817054,0.544442355632782,phase1_class1
18,55.03,0.8551896810531616,0.11920292675495148,1.0,0.7626373767852783,0.8514109954181511,0.7513359189033508,0.6983240246772766,0.46021273732185364,0.5684649610678532,0.42985814809799194,0.5930479016532428,0.49254740553036497,0.5930479016532428,0.056186579167842865,2.475783109664917,2.419596530497074,290,620,0.44278478622436523,1,2.6533730030059814,2.475783109664917,0.04825862869620323,993,0.025466542690992355,0.34717270731925964,0.0,0.0,2.185778856277466,0.85,0.22700001299381256,2.9233322143554688,0.22346171736717224,0,,0,-2.475783109664917,1.0,0,0.0004275948740541935,0.8551896810531616,phase1_class1
19,58.01,0.3744066655635834,0.11920292675495148,1.0,0.7714285850524902,0.8530673924233853,0.7530902624130249,0.6858005523681641,0.459141343832016,0.48642936596218017,0.42985814809799194,0.5247986434930054,0.4072308370842402,0.5247986434930054,0.045579083263874054,2.7047088146209717,2.6591297313570976,290,620,0.4204089045524597,1,2.6533730030059814,2.7047088146209717,0.041846245527267456,993,0.01627989299595356,0.3673306703567505,0.0,0.0,2.2469592094421387,0.85,0.21050001680850983,2.9087576866149902,0.23939847946166992,0,,0,-2.7047088146209717,1.0,0,0.0001872033317340538,0.374406635761261,phase1_class1
20,60.99,0.6328865708965842,0.11920292675495148,0.9956715787961241,0.7659341096878052,0.8476293136400471,0.7501092553138733,0.6872246861457825,0.4646604061126709,0.5170745272525028,0.42985814809799194,0.5455701568461213,0.43881800718835995,0.5455701568461213,0.046962566673755646,2.5977249145507812,2.5507623478770256,290,620,0.42947137355804443,1,2.6533730030059814,2.5977249145507812,0.0368339903652668,993,0.01545765157788992,0.3833933174610138,0.0,0.0,2.269757032394409,0.85,0.22050000727176666,2.9236435890197754,0.23261849582195282,0,,0,-2.5977249145507812,1.0,0,0.00031644327100366354,0.632886528968811,phase1_class1
21,63.97,0.2510674297809601,0.11920292675495148,1.0,0.7681319117546082,0.8515486037847397,0.7487079501152039,0.6788432598114014,0.4626356065273285,0.4834260289210233,0.42985814809799194,0.512929207291225,0.40310771318624855,0.512929207291225,0.042983897030353546,2.7626657485961914,2.719681851565838,290,620,0.43755751848220825,1,2.6533730030059814,2.7626657485961914,0.03174470737576485,993,0.019606545567512512,0.3384406864643097,0.0,0.0,2.332213878631592,0.85,0.21650001406669617,2.921076774597168,0.22368870675563812,0,,0,-2.7626657485961914,1.0,0,0.00012553372653201222,0.2510674297809601,phase1_class1
22,66.94,0.640867528014717,0.11920292675495148,0.9994791526352181,0.7681319117546082,0.8508707551641362,0.7521616816520691,0.6892488598823547,0.46027565002441406,0.5087875417130144,0.42985814809799194,0.5455701568461213,0.431706059628571,0.5455701568461213,0.05051695927977562,2.5953147411346436,2.544797781854868,290,620,0.4271532893180847,1,2.6533730030059814,2.5953147411346436,0.048280276358127594,993,0.017473217099905014,0.4573937654495239,0.0,0.0,2.2264416217803955,0.85,0.15600000321865082,2.900289297103882,0.2575652599334717,0,,0,-2.5953147411346436,1.0,0,0.00032043378450907767,0.6408675312995911,phase1_class1
23,69.91,0.4981531909271174,0.11920292675495148,0.9994791526352181,0.7681319117546082,0.8508707551641362,0.7512601613998413,0.6864784955978394,0.4610607326030731,0.49911012235817576,0.42985814809799194,0.536668079694786,0.42195466769601286,0.536668079694786,0.04803422465920448,2.654007911682129,2.6059736870229244,290,620,0.4210706055164337,1,2.6533730030059814,2.654007911682129,0.04828226566314697,993,0.01814926601946354,0.26586148142814636,0.0,0.0,2.188770055770874,0.85,0.2120000123977661,2.9156641960144043,0.23183053731918335,0,,0,-2.654007911682129,1.0,0,0.0002490766055416316,0.4981532096862793,phase1_class1
24,72.89,0.9193738698959351,0.11920292675495148,1.0,0.7659341096878052,0.8514619614798505,0.7523670196533203,0.6944046020507812,0.4588114321231842,0.5378197997775306,0.42985814809799194,0.5693090292496821,0.4612433403533196,0.5693090292496821,0.05589914321899414,2.4099860191345215,2.3540868759155273,290,620,0.4336819052696228,1,2.6533730030059814,2.4099860191345215,0.04297223314642906,993,0.017581649124622345,0.27462098002433777,0.0,0.0,2.233592987060547,0.85,0.24700000882148743,2.918489456176758,0.22437086701393127,0,,0,-2.4099860191345215,1.0,0,0.0004596869694069028,0.9193738698959351,phase1_class1
25,75.97,0.6464499831199646,0.11920292675495148,1.0,0.7714285850524902,0.8513294497194318,0.7555393576622009,0.6932153701782227,0.46004346013069153,0.5021134593993326,0.42985814809799194,0.4741415854175498,0.3924582050096916,0.4741415854175498,0.051491495221853256,2.5930259227752686,2.5415344275534153,290,620,0.4258972406387329,1,2.6533730030059814,2.5930259227752686,0.048918239772319794,993,0.01568373292684555,0.2883783280849457,0.0,0.0,2.200941324234009,0.85,0.26200002431869507,2.893094539642334,0.21502961218357086,0,,0,-2.5930259227752686,1.0,0,0.00032322501647286117,0.6464499831199646,phase1_class1
