experiment,method,sigmoid_k,pca_components,ffnn_epochs,traj_length,synth_pct,fold_idx,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
grid_stage1,FORGE,10.0,10,10,2000,40,1,0.4000343680381775,0.970453143119812,0.9334275722503662,0.6852437257766724,0.043051403015851974,0.9436800479888916,0.8804836074333711,0.008434908131700884,0.21233941325024733,0.00916790605082489,0.21233941325024733,0.1107536596505361,0.03296686423241102,0.024531956100710135,0.42725337118523776,0.21491395793499043,0.015134493162996726,0.0059665871121718375,0.5837681293487549,0.9620901942253113,0.9375334978103638,0.7729291915893555,0.05684017762541771,0.9305093884468079,0.9272031141167486,0.031166297093066175,0.07830540353124615,0.004486712775919707,0.07830540353124615,0.04139605815358293,0.08724626109387956,0.11841255818694574,0.8016323633782825,0.7233269598470363,0.05493676574436669,0.0594234785202864
grid_stage1,FORGE,0.0,10,30,2000,40,0,0.38174694776535034,0.9827846884727478,0.9614923596382141,0.6822658181190491,0.024964751675724983,0.9665021300315857,0.9522072115154704,0.01643107946791872,0.3343817052512705,0.006272311305331079,0.3343817052512705,0.17032700827830077,0.028104799006806798,0.011673719538888079,0.4922077922077922,0.15782608695652173,0.012284740360352384,0.006012429055021305,0.5698659420013428,0.9762671589851379,0.9618699550628662,0.773066520690918,0.034960366785526276,0.9550163745880127,0.9669836885590517,0.0030185459353823524,0.043760587238848125,0.008289077089557048,0.043760587238848125,0.026024832164202587,0.07087204075516931,0.06785349481978696,0.814935064935065,0.8586956521739131,0.045508876001593694,0.037219798912036646
grid_stage1,FORGE,0.0,15,10,750,20,2,0.0023806372191756964,0.9703408479690552,0.9149209260940552,0.48636072874069214,0.04927971214056015,0.9423943161964417,0.7335203626592198,0.00040587981509685437,0.002048713862963806,0.00029842999306999745,0.002048713862963806,0.0011735719280169018,0.00027470751729041434,0.0006805873323872687,0.0,0.002048713862963806,0.00028921401837359647,0.0005876440114435939,0.4119088053703308,0.9681138396263123,0.93626868724823,0.6900113224983215,0.04537666589021683,0.9395075440406799,0.9243954300636912,0.014449623926914353,0.20038799132171375,0.00838648567155345,0.20038799132171375,0.1043872384966336,0.053228621291448515,0.03877899736453416,0.48743556701030927,0.2870475756885955,0.030299421571963255,0.021912935900409804
grid_stage1,FORGE,0.0,15,30,4500,60,0,0.31925612688064575,0.9833953976631165,0.9598676562309265,0.6513257622718811,0.02550709806382656,0.9675815105438232,0.9268103198774967,0.008284388801774735,0.36702428006775834,0.0036709650691762728,0.36702428006775834,0.1853476225684673,0.01690997046106426,0.008625581659289524,0.4344155844155844,0.06739130434782609,0.002678294745229979,0.006349259814406252,0.5276615023612976,0.9793660640716553,0.9633639454841614,0.7535138130187988,0.03137929365038872,0.9604594111442566,0.9497358323171219,0.024972763434612702,0.055392433653303264,0.02120921962287252,0.055392433653303264,0.03830082663808789,0.03407680123292949,0.059049564667542194,0.5902597402597403,0.6456521739130435,0.015117977776794014,0.036327197399666535
grid_stage1,FORGE,5.0,10,20,4500,60,0,0.3881899118423462,0.9827015995979309,0.9616404175758362,0.6854457855224609,0.02584860660135746,0.9663545489311218,0.9456632386961407,0.0178632994440101,0.38160926030491243,0.006098123026063773,0.38160926030491243,0.1938536916654881,0.02973158097521298,0.01186828153120288,0.5298701298701298,0.1482608695652174,0.012683164372039488,0.006585041345975715,0.44025886058807373,0.9570477604866028,0.9387400150299072,0.6986533403396606,0.059394583106040955,0.9202176928520203,0.962839161854606,0.01688634500687311,0.022704686617730063,0.013060613813496852,0.022704686617730063,0.017882650215613458,0.0974998929748705,0.1143862379817436,0.8720779220779221,0.8947826086956522,0.07109655141883217,0.08415716523232902
grid_stage1,FORGE,10.0,5,20,750,20,0,0.33688995242118835,0.9820393919944763,0.9591842889785767,0.6594646573066711,0.02830355241894722,0.9650260806083679,0.9236123780546126,0.0048521411213461214,0.08586674195369845,0.0008550411325133778,0.08586674195369845,0.04336089154310591,0.01455541761205531,0.01940755873340143,0.19935064935064936,0.2852173913043478,0.00825623090884944,0.009111272041362818,0.33861109614372253,0.9558045864105225,0.9339398741722107,0.6472078561782837,0.05474988371133804,0.9171456098556519,0.9243789502733807,0.02236470278141295,0.22115753811405992,0.0334880178406947,0.22115753811405992,0.12732277797737732,0.10257288411318978,0.08020818133177683,0.4662337662337662,0.6873913043478261,0.09017663464518129,0.056688616804486586
grid_stage1,FORGE,5.0,5,30,2000,40,0,0.34161266684532166,0.9826827049255371,0.9599721431732178,0.6621477007865906,0.027543306350708008,0.9662530422210693,0.927541268650471,0.007320268634508362,0.10796725014116318,0.0026277414271205545,0.10796725014116318,0.055297495784141865,0.01166573911554433,0.018986007750052693,0.18246753246753247,0.29043478260869565,0.005843552171410864,0.008471293598531418,0.29255902767181396,0.9385612607002258,0.9156759977340698,0.6155601739883423,0.08356694132089615,0.8869412541389465,0.9012225934217238,0.04190167555802435,0.06639186900056471,0.04828994632734036,0.06639186900056471,0.057340907663952535,0.14822980435806327,0.10632812880003892,0.6201298701298701,0.6865217391304348,0.13214396387622293,0.08385401754888257
grid_stage1,FORGE,10.0,15,10,750,20,2,0.0023806372191756964,0.9703408479690552,0.9149209260940552,0.48636072874069214,0.04927971214056015,0.9423943161964417,0.7335203626592198,0.00040587981509685437,0.002048713862963806,0.00029842999306999745,0.002048713862963806,0.0011735719280169018,0.00027470751729041434,0.0006805873323872687,0.0,0.002048713862963806,0.00028921401837359647,0.0005876440114435939,0.28383904695510864,0.9700483083724976,0.930759847164154,0.6269437074661255,0.043711788952350616,0.9425012469291687,0.8650963440718074,0.019659130367763022,0.16673440466440284,0.013650915873988924,0.16673440466440284,0.09019266026919588,0.03340120224936979,0.013742071881606765,0.2967139175257732,0.12997951286137036,0.01949642735624362,0.005845511482254697
grid_stage1,FORGE,0.0,5,10,4500,60,2,0.22629240155220032,0.9717442989349365,0.9290639162063599,0.5990183353424072,0.04487987607717514,0.945479691028595,0.8796892788735514,0.0030826355768103653,0.010033681747672607,0.0007680184999313468,0.010033681747672607,0.005400850123801977,0.011586193523366298,0.014668829100176663,0.1333762886597938,0.14340997040746642,0.0051548145627764545,0.005922833062707801,0.3871193528175354,0.9075840711593628,0.8777852654457092,0.6473517417907715,0.10223597288131714,0.8393868803977966,0.9274939689513457,0.05470293889575162,0.10116184722179844,0.05365425893395087,0.10116184722179844,0.07740805307787466,0.17595824445737185,0.23066118335312347,0.9452319587628866,0.8440701115410881,0.13533514800952706,0.18898940694347793
grid_stage1,FORGE,10.0,10,30,4500,60,1,0.4333416521549225,0.9711612462997437,0.9362516403198242,0.7022514343261719,0.04102768003940582,0.9451156854629517,0.9007474184134454,0.013825109193929735,0.2653401311155953,0.013206671132382164,0.2653401311155953,0.13927340112398873,0.03850996529803765,0.024684856104107915,0.4957416607523066,0.2304015296367113,0.017830776144315337,0.004624105011933174,0.4966270625591278,0.9589965343475342,0.9289843440055847,0.7278118133544922,0.05687946826219559,0.9241700768470764,0.9089793447783199,0.03462459489705813,0.026761857330708017,0.013190861227839898,0.026761857330708017,0.019976359279273957,0.06929644074563154,0.10392103564268967,0.5936834634492548,0.5669216061185468,0.0455800218270527,0.0587708830548926
grid_stage1,FORGE,10.0,5,20,4500,60,2,0.20798759162425995,0.9716861844062805,0.9279611110687256,0.5898368954658508,0.043981343507766724,0.9453269243240356,0.897712601181264,0.0032710717372577084,0.03034364065605777,4.3830470580086094e-05,0.03034364065605777,0.015193735563318928,0.010051063279684571,0.01332213501694228,0.10760309278350516,0.13794673343956293,0.004899625723035046,0.00485579525245496,0.29056888818740845,0.9114041328430176,0.8758585453033447,0.6009864807128906,0.11053948849439621,0.8424798846244812,0.8618424485108556,0.07811862517107629,0.0940859521121935,0.08327517771795682,0.0940859521121935,0.08868056491507517,0.20598216017064186,0.12786353499956557,0.6185567010309279,0.5244707489187344,0.18419530452534877,0.10092012680739194
grid_stage1,FORGE,0.0,15,20,4500,60,0,0.3152371346950531,0.9839828610420227,0.960291862487793,0.6496099829673767,0.02587682008743286,0.9686978459358215,0.9071000709355523,0.010248697734598074,0.35211180124223607,0.001142810073930892,0.35211180124223607,0.1766273056580835,0.016117984502761248,0.005869286768163172,0.4142857142857143,0.06217391304347826,0.002545486741334278,0.00368829681526517,0.3853232264518738,0.9743195176124573,0.953453779220581,0.6798213720321655,0.03754522651433945,0.9506988525390625,0.9345079468740535,0.02520678297211751,0.022490118577075113,0.02348859492934999,0.02348859492934999,0.02298935675321255,0.030437946829915664,0.05564472980203317,0.42272727272727273,0.44521739130434784,0.017065828500597634,0.040554423429947625
grid_stage1,FORGE,5.0,15,20,2000,40,0,0.3152371346950531,0.9839828610420227,0.960291862487793,0.6496099829673767,0.02587682008743286,0.9686978459358215,0.9071000709355523,0.010248697734598074,0.35211180124223607,0.001142810073930892,0.35211180124223607,0.1766273056580835,0.016117984502761248,0.005869286768163172,0.4142857142857143,0.06217391304347826,0.002545486741334278,0.00368829681526517,0.46381309628486633,0.9643170833587646,0.9465862512588501,0.7140650749206543,0.04593483358621597,0.9330873489379883,0.9545673678526453,0.008912765149444127,0.02826086956521734,0.013632259108358198,0.02826086956521734,0.02094656433678777,0.09443897427115887,0.08552620912171474,0.8,0.8282608695652174,0.07038824206472177,0.056755982956363575
grid_stage1,FORGE,5.0,5,20,2000,40,0,0.33688995242118835,0.9820393919944763,0.9591842889785767,0.6594646573066711,0.02830355241894722,0.9650260806083679,0.9236123780546126,0.0048521411213461214,0.08586674195369845,0.0008550411325133778,0.08586674195369845,0.04336089154310591,0.01455541761205531,0.01940755873340143,0.19935064935064936,0.2852173913043478,0.00825623090884944,0.009111272041362818,0.2688911557197571,0.9278191328048706,0.90447598695755,0.5983551740646362,0.09956371784210205,0.8686102032661438,0.898066067201473,0.05801511474204096,0.08491812535290799,0.06566137094250983,0.08491812535290799,0.07528974814770892,0.17729782953037374,0.11928271478833277,0.6311688311688312,0.7160869565217391,0.1618265527469122,0.09616518180440238
grid_stage1,FORGE,0.0,5,30,2000,40,1,0.22323760390281677,0.9700984954833984,0.9216201305389404,0.5966680645942688,0.04371148720383644,0.9424138069152832,0.910535126741706,0.001038298012952736,0.10907509360068501,0.0003672427281333795,0.10907509360068501,0.054721168164409195,0.009719620428093234,0.008681322415140498,0.19836763662171752,0.08929254302103251,0.0011876484560570072,0.0008204057279236277,0.30568480491638184,0.9398432970046997,0.8986803889274597,0.6227640509605408,0.0721246600151062,0.8892796039581299,0.8792275028456139,0.012026883550608838,0.07582096519642234,0.02277396041307153,0.07582096519642234,0.049297462804746936,0.10026717440039308,0.08824029084978424,0.4247693399574166,0.3489483747609943,0.08559093535340566,0.06281697494033413
grid_stage1,FORGE,10.0,15,30,4500,60,1,0.39161446690559387,0.9704245328903198,0.9328542351722717,0.6810194849967957,0.042984623461961746,0.943591296672821,0.8790546772410216,0.010734944337344017,0.21177231319555928,0.011231191959168732,0.21177231319555928,0.111501752577364,0.03290544483002181,0.02217050049267779,0.41731724627395317,0.2055449330783939,0.015519676446042241,0.004288484486873508,0.5270225405693054,0.9694547653198242,0.940736711025238,0.7482386827468872,0.0431373156607151,0.9426153898239136,0.9324534807714007,0.05874261175180807,0.19548681176864918,0.027787399885287695,0.19548681176864918,0.11163710582696844,0.02852931240979025,0.08727192416159832,0.36550745209368346,0.5609942638623326,0.013288823265070296,0.04107622315035799
