config_id,fold,delta_scale,ffnn_opt,reinforce_opt,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
0000,0,0.15514289520771124,adamw,adamw,0.5251942873001099,0.9842835664749146,0.9680198431015015,0.7547389268875122,0.02295864187180996,0.9695742130279541,0.9542788372447516,0.008664337121573489,0.28675324675324676,0.0007425139518431149,0.28675324675324676,0.14374788035254493,0.03358448563722762,0.024920148515654134,0.6467532467532467,0.36,0.012683164372039488,0.011940650420196373,0.46806201338768005,0.9663446545600891,0.9486924409866333,0.7172033190727234,0.05089864134788513,0.9366945028305054,0.9468904424306188,0.016821517732313607,0.026826651609260344,0.021658935060712328,0.026826651609260344,0.024242793334986336,0.09315467271715398,0.07633315498484038,0.7701298701298701,0.7969565217391305,0.07007835672229847,0.04841942166158614
0000,1,0.15514289520771124,adamw,adamw,0.5066748261451721,0.9724652767181396,0.9422310590744019,0.7395700216293335,0.03999284282326698,0.9478417038917542,0.9101284210812407,0.011202042012421795,0.05779847389154941,0.011098767250702992,0.05779847389154941,0.0344486205711262,0.03550041458096613,0.046702456593387925,0.3750887154009936,0.432887189292543,0.020141875842588433,0.009043108591885441,0.5642421245574951,0.9718086123466492,0.9453536868095398,0.7680253982543945,0.03924805670976639,0.947043240070343,0.9312888560477742,0.005185632150914117,0.020486302884895835,0.01779484715470747,0.020486302884895835,0.019140575019801653,0.05415655805669011,0.05934219020760423,0.5415188076650106,0.5210325047801148,0.03211465622391988,0.014319809069212411
0000,2,0.15514289520771124,adamw,adamw,0.46731773018836975,0.9728556275367737,0.9439113736152649,0.7200866937637329,0.04090895876288414,0.9483435153961182,0.9085262392858636,0.0029713051669277638,0.18944245003179844,0.002654961037053139,0.18944245003179844,0.0960487055344258,0.04128692392217698,0.03831561875524921,0.5067654639175257,0.3173230138857273,0.01670636270840422,0.01936132374545736,0.5114204287528992,0.9702795147895813,0.9440078139305115,0.7408499717712402,0.04166000708937645,0.9439675807952881,0.9293058722402108,0.0011642702048323544,0.08528277472830487,0.0006079162618070309,0.08528277472830487,0.04294534549505595,0.05681597828194687,0.057980248486779226,0.5621778350515464,0.4768950603232415,0.030129295678802313,0.029521379416995282
0001,0,0.12582818151973185,adamw,adamw,0.4313979744911194,0.9833542704582214,0.9638006687164307,0.7073761224746704,0.023162636905908585,0.9676553606987,0.9596187388415985,0.020069455288467188,0.42998306041784307,0.006845408585459378,0.42998306041784307,0.21841423450165123,0.03287811978252494,0.012808664494057752,0.6038961038961039,0.17391304347826086,0.013413608393465845,0.0065681998080064675,0.6267082691192627,0.9814859628677368,0.9689176082611084,0.8040971159934998,0.0288999080657959,0.9647216200828552,0.9692598467911626,0.010725399881036553,0.04373800112930548,0.005929092183553395,0.04373800112930548,0.024833546656429437,0.052977439102701314,0.06370283898373787,0.8097402597402598,0.8534782608695652,0.027181371463986897,0.03311046364754029
0001,1,0.12582818151973185,adamw,adamw,0.41847872734069824,0.9708964824676514,0.9350392818450928,0.6946876049041748,0.03888727352023125,0.9445672035217285,0.9090540174941382,0.0011398781415975535,0.04536786867270903,0.012817476720466178,0.04536786867270903,0.029092672696587607,0.030955378804164234,0.02981550066256668,0.336763662171753,0.291395793499044,0.017124606792065223,0.004307130071599045,0.5555858016014099,0.9719991087913513,0.944969892501831,0.7637924551963806,0.04019339382648468,0.9473174810409546,0.9296323105013183,0.02914113989492023,0.032031586075312035,0.005500757515632174,0.032031586075312035,0.018766171795472103,0.03979977274821116,0.06894091264313139,0.4865152590489709,0.518546845124283,0.019596199524940617,0.02509695704057279
0001,2,0.12582818151973185,adamw,adamw,0.46603307127952576,0.9757784008979797,0.9465932250022888,0.7209057211875916,0.03506533056497574,0.9536588788032532,0.9339214141649208,0.009511584632772949,0.23621738309071832,0.0010248647944425902,0.23621738309071832,0.11862112394258045,0.03454851011570034,0.025036925482927394,0.49162371134020616,0.25540632824948784,0.010411704661449472,0.009386839867006882,0.5624272227287292,0.9709287881851196,0.947540283203125,0.766677975654602,0.0406176894903183,0.945479691028595,0.9344622842453842,0.006727241922224597,0.11733822376742764,0.008438425831543087,0.11733822376742764,0.06288832479948536,0.07089069872664987,0.06416345680442527,0.6807345360824743,0.5633963123150466,0.03868662810479755,0.030248202273254466
0002,0,0.17617171395434755,adamw,adam,0.4895378351211548,0.9838636517524719,0.9663517475128174,0.7367007732391357,0.021556850522756577,0.9687162637710571,0.9604580038117897,0.013689883003301165,0.2958667419536985,0.005395114629718709,0.2958667419536985,0.1506309282917086,0.033648700714927864,0.0199588177116267,0.6006493506493507,0.30478260869565216,0.014321129753419806,0.008926015123701097,0.5576149821281433,0.978164792060852,0.9632664322853088,0.7678898572921753,0.03249800205230713,0.9583836793899536,0.9546729492452137,0.028144200676886638,0.05763410502540944,0.03440070446582423,0.05763410502540944,0.04601740474561684,0.07466073033948371,0.046516529662597075,0.7058441558441558,0.7634782608695653,0.05314533622559653,0.018744631759772302
0002,1,0.17617171395434755,adamw,adam,0.4153415858745575,0.9717075824737549,0.9355940818786621,0.6935245990753174,0.03977431729435921,0.9460270404815674,0.8999975752480116,0.012123572519444282,0.10828734155056202,0.007886091227381781,0.10828734155056202,0.0580867163889719,0.0216503393421982,0.03377391186164248,0.22498225691980128,0.3332695984703633,0.012454259485138345,0.0045681682577565635,0.555579662322998,0.9737560153007507,0.9466124176979065,0.7646678686141968,0.03871035575866699,0.9504387378692627,0.9268609984906845,0.015831629377599903,0.02016224571078845,0.006817128375888628,0.02016224571078845,0.01348968704333854,0.03909344962073519,0.05492507899833509,0.4641589779985806,0.48432122370936903,0.019869037683764523,0.013051909307875895
0002,2,0.17617171395434755,adamw,adam,0.4345582127571106,0.9746453762054443,0.9437230825424194,0.7046017646789551,0.03689870238304138,0.9514670372009277,0.9250621122792617,0.001639465590146296,0.15720600780060123,0.0030532355792818894,0.15720600780060123,0.08012962168994156,0.02944218214724323,0.027802716557096933,0.4178479381443299,0.2606419303437287,0.008931609390949303,0.011984844970231192,0.5906620025634766,0.9746525883674622,0.9526674747467041,0.782657265663147,0.03610800579190254,0.9522613286972046,0.9407120343378147,0.01504540705465067,0.150488138932369,0.01663459228598977,0.150488138932369,0.08356136560917939,0.05143494279619934,0.06648034985085001,0.6897551546391752,0.5392670157068062,0.017727118067369853,0.03436171035335962
0003,0,0.11262658534061014,sgd,adam,0.4699786901473999,0.9834560751914978,0.9652656316757202,0.7267173528671265,0.022910159081220627,0.9679136276245117,0.9622310252379129,0.02324163348328901,0.486335403726708,0.008345757822771183,0.486335403726708,0.2473405807747396,0.03833640138704568,0.015094767903756667,0.6928571428571428,0.20652173913043478,0.016025499136747976,0.007679741313976792,0.49504348635673523,0.967487633228302,0.9507508873939514,0.7312655448913574,0.04871751740574837,0.9389086365699768,0.9533418839566097,0.004968392932082316,0.07565217391304346,0.001103557637302223,0.07565217391304346,0.03837786577517284,0.08273042510381437,0.08769881803589669,0.8,0.8756521739130435,0.058280579042896984,0.05717702140559476
