config_id,seed,ffnn_lr,reinforce_lr,delta_scale,ffnn_opt,reinforce_opt,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
0000,0,0.004884765313390349,0.0003280264061679065,0.15514289520771124,adamw,adamw,0.5854617357254028,0.8891922831535339,0.8135743141174316,0.737326979637146,0.12269904464483261,0.825128436088562,0.8786139924961378,0.17336308847113463,0.12191360791837752,0.08599543982256584,0.12191360791837752,0.10395452387047169,0.054950751684810784,0.2283138401559454,0.391705069124424,0.5136186770428015,0.012266355140186916,0.09826179496275275,0.6284487247467041,0.8623353242874146,0.8041059970855713,0.7453920245170593,0.1393681764602661,0.7991049289703369,0.870109257692458,0.18879847146811216,0.0166221377467769,0.10112661744570389,0.10112661744570389,0.058874377596240396,0.16329704510108864,0.3520955165692008,0.6682027649769585,0.6848249027237354,0.09929906542056074,0.20042568286626464
0000,1,0.004884765313390349,0.0003280264061679065,0.15514289520771124,adamw,adamw,0.6049469709396362,0.878951907157898,0.8107345104217529,0.7419494390487671,0.12992466986179352,0.8146858811378479,0.8747722818482881,0.23587185898347401,0.24092155369383095,0.12813218621523081,0.24092155369383095,0.18452686995453088,0.0602161605764282,0.2960880195599022,0.3613861386138614,0.6023076923076923,0.02527283170591614,0.15340501792114694,0.6347561478614807,0.8636466860771179,0.8066611886024475,0.7492014169692993,0.13788923621177673,0.8014255166053772,0.8741196538948582,0.26238795903292744,0.13728103579588735,0.16061629805306965,0.16061629805306965,0.1489486669244785,0.11682964487905301,0.37921760391198045,0.5742574257425742,0.7115384615384616,0.06375646180356118,0.22437275985663083
0000,2,0.004884765313390349,0.0003280264061679065,0.15514289520771124,adamw,adamw,0.6156144738197327,0.890403687953949,0.8219910860061646,0.7530090808868408,0.12133064866065979,0.8294380903244019,0.8832940615337866,0.1907597165237984,0.16021361815754337,0.08977486713986865,0.16021361815754337,0.12499424264870601,0.06490134994807892,0.2556610664718773,0.411214953271028,0.5714285714285714,0.02161214953271028,0.11138701667257893,0.6571254730224609,0.8717831373214722,0.818341076374054,0.7644543051719666,0.13288111984729767,0.8133598566055298,0.8784891681245429,0.2134737667700537,0.025788007198003116,0.11794051048791081,0.11794051048791081,0.07186425884295697,0.15005192107995846,0.36352568785001216,0.6962616822429907,0.7220496894409938,0.08177570093457943,0.19971621142249024
0001,0,0.0006454584264762864,0.00036948531142849293,0.12582818151973185,adamw,adamw,0.620292067527771,0.8956044316291809,0.8270615339279175,0.7579482793807983,0.11416559666395187,0.8362340331077576,0.8860336589395557,0.21925883483549033,0.32637128153633743,0.09642678354158862,0.32637128153633743,0.21139903253896303,0.03317781233799896,0.2524366471734893,0.25806451612903225,0.5844357976653697,0.004672897196261682,0.1010996807378503,0.6473056077957153,0.878108561038971,0.8206469416618347,0.7627071142196655,0.1268535703420639,0.8188297748565674,0.8735316789414305,0.1483190545051067,0.05975004034499454,0.06049735937380858,0.06049735937380858,0.06012369985940156,0.16381544841886989,0.3121345029239766,0.7188940092165899,0.6591439688715953,0.09345794392523364,0.15395530329904222
0001,1,0.0006454584264762864,0.00036948531142849293,0.12582818151973185,adamw,adamw,0.6202578544616699,0.8897444009780884,0.8226519823074341,0.7550011277198792,0.11499066650867462,0.8291065692901611,0.8874254617032362,0.24950867448441966,0.3903046458492003,0.11711721727100358,0.3903046458492003,0.25371093156010194,0.0319094184251158,0.28141809290953546,0.22277227722772278,0.6130769230769231,0.009764503159103963,0.12688172043010754,0.6405270099639893,0.8709168434143066,0.813558042049408,0.755721926689148,0.13255812227725983,0.8100447654724121,0.8749779224698856,0.11539071357654018,0.12405178979436404,0.0219403836216569,0.12405178979436404,0.07299608670801047,0.20123520329387545,0.31662591687041564,0.7871287128712872,0.6630769230769231,0.13325674899483056,0.15519713261648746
0001,2,0.0006454584264762864,0.00036948531142849293,0.12582818151973185,adamw,adamw,0.6461086273193359,0.8968101143836975,0.8343944549560547,0.7714593410491943,0.11001022905111313,0.8402121663093567,0.894756156802333,0.2357622841330848,0.32902565739827017,0.1062980509427019,0.32902565739827017,0.21766185417048603,0.04205607476635514,0.27781835889943995,0.3037383177570093,0.6327639751552795,0.009345794392523364,0.11564384533522526,0.6367495059967041,0.8633667826652527,0.8069472312927246,0.7500581741333008,0.13782456517219543,0.8014255166053772,0.8666891874616675,0.0994271614377702,0.08391623614094157,0.0036331402731133444,0.08391623614094157,0.04377468820702746,0.23001038421599168,0.3294375456537619,0.7710280373831776,0.687111801242236,0.16238317757009346,0.1660163178432068
0002,0,0.0014681285318933388,0.0006549765787793988,0.17617171395434755,adamw,adam,0.6160305142402649,0.8934999108314514,0.8244199752807617,0.7547652125358582,0.11452046781778336,0.8332504630088806,0.8876737879986987,0.2106896431505583,0.2671197260126593,0.09717893930703869,0.2671197260126593,0.182149332659849,0.041990668740279936,0.2526803118908382,0.3087557603686636,0.5758754863813229,0.008177570093457943,0.10535650940049664,0.646929144859314,0.8739174604415894,0.8174055814743042,0.7604233026504517,0.12578563392162323,0.8141885995864868,0.8812205369666751,0.23161335600968896,0.1043626387419534,0.1333967934542971,0.1333967934542971,0.11887971609812525,0.11975116640746501,0.351364522417154,0.5944700460829493,0.6988326848249027,0.05957943925233645,0.19297623270663355
0002,1,0.0014681285318933388,0.0006549765787793988,0.17617171395434755,adamw,adam,0.6253665685653687,0.8905547261238098,0.8245323896408081,0.7579606771469116,0.11693412065505981,0.8305983543395996,0.8860241079281919,0.2450954904257903,0.35872810357958873,0.11503564671562301,0.35872810357958873,0.23688187514760586,0.03705609881626351,0.2821515892420538,0.25742574257425743,0.6161538461538462,0.011487650775416428,0.12652329749103944,0.6413816213607788,0.8837924003601074,0.8234408497810364,0.7625870108604431,0.12045253068208694,0.8244654536247253,0.8833637839167434,0.24165187048485753,0.22512566641279513,0.12374402714214837,0.22512566641279513,0.17443484677747176,0.07668553782810088,0.3183374083129584,0.43564356435643564,0.6607692307692308,0.0350373348650201,0.15878136200716847
0002,2,0.0014681285318933388,0.0006549765787793988,0.17617171395434755,adamw,adam,0.6322097182273865,0.8954874277114868,0.8299407958984375,0.7638485431671143,0.11191348731517792,0.8372285962104797,0.8930601910613701,0.20812274765293204,0.24113310500957802,0.09240202497737317,0.24113310500957802,0.1667675649934756,0.05192107995846314,0.26004382761139516,0.35514018691588783,0.5962732919254659,0.014018691588785047,0.10642071656615822,0.6610115766525269,0.8785319924354553,0.8243772387504578,0.7697718143463135,0.12168008089065552,0.8211503624916077,0.885391904445217,0.24074503905269248,0.1519562314970686,0.13018282979647453,0.1519562314970686,0.14106953064677158,0.11474558670820353,0.355490625760896,0.5700934579439252,0.7220496894409938,0.05782710280373832,0.18800993260021284
0003,0,0.003247943069996102,0.0001724797020759017,0.11262658534061014,sgd,adam,0.6062015295028687,0.8928948044776917,0.8215184807777405,0.7495481967926025,0.11585123836994171,0.8315929174423218,0.8822699727076176,0.21161200694842341,0.29614301852283526,0.0965521428358303,0.29614301852283526,0.19634758067933278,0.03473302229134267,0.2463450292397661,0.2672811059907834,0.5634241245136187,0.005257009345794392,0.10180915218162469,0.6287519931793213,0.8679923415184021,0.8084301352500916,0.7483721971511841,0.1319083422422409,0.8052378296852112,0.8648534830775181,0.1278216601638882,0.060589216231239584,0.040744257093885614,0.060589216231239584,0.0506667366625626,0.1886988076723691,0.3165204678362573,0.7142857142857143,0.6536964980544747,0.12207943925233646,0.16282369634622207
