dataset,method,eo_tpr_diff,roc_auc,f1_weighted,dp_diff,eod_max_diff
Census,SMOTE,0.2527810913529559,0.8763437905642474,0.8057558536529541,0.016633667816008724,0.2527810913529559
Capture-24,RL (ours),0.004105025409373297,0.9664582561211802,0.955696702003479,0.026739148151100622,0.031156112726791925
Capture-24,Alpha,0.3343817052512705,0.9522072115154704,0.9614923596382141,0.01643107946791872,0.3343817052512705
Capture-24,RL (ours),0.009676009131976526,0.9538057253224126,0.9560880064964294,0.0008816950507190974,0.014971205406060329
Capture-24,Alpha,0.09920580949142666,0.9423369352792333,0.9558358788490295,0.006967943681946646,0.09920580949142666
Capture-24,RL (ours),0.01613799298961749,0.9382262499266948,0.937522828578949,0.029588771014818563,0.01613799298961749
Capture-24,Alpha,0.2653401311155953,0.9007474184134454,0.9362516403198242,0.013825109193929735,0.2653401311155953
Capture-24,RL (ours),0.038990539072235375,0.9403832490372579,0.9375520348548889,0.060290725842804704,0.05186532853765896
Capture-24,Alpha,0.2348858950861375,0.9373574431460245,0.9440678954124451,0.012318103103009754,0.2348858950861375
Capture-24,RL (ours),0.02999031285649645,0.9583071143195705,0.9493827819824219,0.05045506258624375,0.04955785111719244
Capture-24,Alpha,0.0923831647642901,0.9586146366863932,0.9748620986938477,0.006053904784927322,0.0923831647642901
Capture-24,OT Repair,0.03373235460191981,0.9624118897251047,0.9725971817970276,0.005097092745623182,0.03373235460191981
Capture-24,OT Repair,0.1932760850419388,0.9143097244975892,0.9379660487174988,0.017583230659584833,0.1932760850419388
Capture-24,OT Repair,0.01950421652535314,0.9271990411458844,0.9366560578346252,0.003105209596950334,0.01950421652535314
Capture-24,OT Repair,0.051517918028921195,0.9519781270087819,0.9731322526931763,0.007801484555531243,0.051517918028921195
Capture-24,OT Repair,0.3247170544518385,0.9482421814525426,0.955737829208374,0.0353054091063022,0.3247170544518385
Capture-24,FLB,0.0,0.8357119222040232,0.9471803903579712,0.0,0.0
Capture-24,FLB,0.01852974663017176,0.868385711691555,0.9273686408996582,0.0024312940659782407,0.01852974663017176
Capture-24,FLB,0.3022370699871632,0.8874478869274633,0.9411894679069519,0.01977706834440813,0.3022370699871632
Capture-24,FLB,0.17970208847166186,0.9409605423740057,0.9643221497535706,0.017533829140596764,0.17970208847166186
Capture-24,FLB,0.1495191140039831,0.9423730663466268,0.957720160484314,0.014418915485424087,0.1495191140039831
Capture-24,FairTabDDPM,0.10956521739130431,0.9578347719700955,0.960134744644165,0.03228120840993872,0.10956521739130431
Capture-24,FairTabDDPM,0.33975779847389154,0.9094278649519135,0.9402678608894348,0.022554004985840134,0.33975779847389154
Capture-24,FairTabDDPM,0.052529900544680985,0.9413987286085941,0.9129831194877625,0.11741057591327267,0.1108415866030509
Capture-24,FairTabDDPM,0.37832676901898554,0.9476670077068602,0.9518800377845764,0.0638863640418157,0.37832676901898554
Capture-24,FairTabDDPM,0.19474911351823965,0.9408039019063604,0.9386271834373474,0.0850941590982557,0.19474911351823965
Capture-24,GroupDRO,0.05009599096555617,0.9507990050591394,0.9260258078575134,0.021214603524624287,0.05009599096555617
Capture-24,GroupDRO,0.2294635551026114,0.8982530136157353,0.9138436913490295,0.05112978523985247,0.2294635551026114
Capture-24,GroupDRO,0.13146397971468193,0.9366185546950226,0.9098378419876099,0.0265890943476651,0.13146397971468193
Capture-24,GroupDRO,0.06716791261176858,0.9637133072015337,0.9403923153877258,0.0381590600401356,0.06716791261176858
Capture-24,GroupDRO,0.07345897896730946,0.947420831450764,0.9076255559921265,0.06395483442853575,0.07345897896730946
Capture-24,CTGAN,0.01625070581592314,0.9476408349672422,0.9546420574188232,0.004391258919143409,0.01625070581592314
Capture-24,CTGAN,0.33743294608410557,0.8936175388800541,0.9416570067405701,0.016908884500202337,0.33743294608410557
Capture-24,CTGAN,0.42085060640052946,0.8755693390807657,0.9435661435127258,0.046226806165387775,0.42085060640052946
Capture-24,CTGAN,0.031611475441179315,0.9134799096062387,0.9561817049980164,0.01554931247333223,0.031611475441179315
Capture-24,CTGAN,0.14078058969252438,0.9065099258819076,0.9145894050598145,0.014112415656424918,0.14078058969252438
Capture-24,SMOTE,0.3761490683229814,0.9509230638180861,0.9694322943687439,0.03901454059370239,0.3761490683229814
Capture-24,SMOTE,0.2675557431263375,0.8735647558070587,0.9399937391281128,0.040021018558011934,0.2675557431263375
Capture-24,SMOTE,0.1765953068494629,0.8847421458761315,0.9388696551322937,0.06762055922772284,0.1765953068494629
Capture-24,SMOTE,0.35206393514712353,0.9405069207902219,0.9660670161247253,0.0415398745172299,0.35206393514712353
Capture-24,SMOTE,0.4844124933210278,0.9494966200870096,0.9542891979217529,0.08777349992629875,0.4844124933210278
