experiment,config,n_seeds,beta_eo_mean,beta_eo_std,beta_auc_mean,beta_f1w_mean,alpha_eo_mean
grid_stage1,FORGE k10/pca15/ep20/synth60,3,0.0648,0.0345,0.8666,0.7932,0.3943
grid_stage1,FORGE k5/pca15/ep20/synth60,3,0.0664,0.0183,0.8657,0.7903,0.3943
grid_stage1,FORGE k10/pca15/ep20/synth40,3,0.0664,0.0440,0.8658,0.7922,0.3943
grid_stage1,FORGE k0/pca10/ep20/synth60,3,0.0669,0.0086,0.8658,0.7933,0.4222
grid_stage1,FORGE k5/pca15/ep30/synth40,3,0.0669,0.0565,0.8557,0.7891,0.3982
grid_stage1,FORGE k10/pca15/ep30/synth20,3,0.0674,0.0404,0.8688,0.8177,0.3982
grid_stage1,FORGE k5/pca10/ep30/synth40,3,0.0676,0.0219,0.8475,0.7888,0.4260
grid_stage1,FORGE k10/pca15/ep10/synth20,3,0.0678,0.0326,0.8528,0.8016,0.3745
grid_stage1,FORGE k5/pca15/ep10/synth40,3,0.0680,0.0301,0.8662,0.7904,0.3745
grid_stage1,FORGE k0/pca15/ep30/synth20,3,0.0684,0.0413,0.8663,0.8124,0.3982
grid_stage1,FORGE k0/pca15/ep20/synth40,3,0.0696,0.0492,0.8560,0.7810,0.3943
grid_stage1,FORGE k5/pca10/ep20/synth40,3,0.0706,0.0589,0.8521,0.7822,0.4222
grid_stage1,FORGE k0/pca10/ep30/synth60,3,0.0732,0.0168,0.8533,0.7830,0.4260
baseline,fairtabddpm,5,0.0743,0.0378,0.8694,0.7862,0.3289
grid_stage1,FORGE k5/pca10/ep20/synth60,3,0.0760,0.0208,0.8626,0.7929,0.4222
grid_stage1,FORGE k10/pca10/ep30/synth20,3,0.0767,0.0147,0.8621,0.8144,0.4260
grid_stage1,FORGE k5/pca15/ep30/synth20,3,0.0784,0.0309,0.8674,0.8181,0.3982
grid_stage1,FORGE k0/pca10/ep10/synth60,3,0.0804,0.0221,0.8630,0.7961,0.3799
grid_stage1,FORGE k0/pca15/ep30/synth40,3,0.0820,0.0551,0.8611,0.7961,0.3982
grid_stage1,FORGE k10/pca15/ep30/synth40,3,0.0823,0.0615,0.8617,0.7994,0.3982
grid_stage1,FORGE k5/pca10/ep30/synth20,3,0.0837,0.0435,0.8642,0.8129,0.4260
grid_stage1,FORGE k10/pca15/ep10/synth60,3,0.0857,0.0217,0.8656,0.7870,0.3745
grid_stage1,FORGE k5/pca10/ep30/synth60,3,0.0897,0.0412,0.8490,0.7859,0.4260
grid_stage1,FORGE k0/pca10/ep30/synth40,3,0.0930,0.0231,0.8551,0.7953,0.4260
grid_stage1,FORGE k0/pca15/ep10/synth60,3,0.0947,0.0198,0.8651,0.7874,0.3745
grid_stage1,FORGE k10/pca10/ep20/synth60,3,0.0970,0.0186,0.8576,0.7828,0.4222
grid_stage1,FORGE k0/pca10/ep30/synth20,3,0.0977,0.0252,0.8619,0.8095,0.4260
baseline,gaussian_ot_repair,5,0.1270,0.0540,0.8623,0.8106,0.3289
baseline,ctgan,5,0.1940,0.0472,0.8652,0.8149,0.3289
baseline,smote,5,0.2458,0.0458,0.8733,0.8023,0.3289
baseline,fairness_loss_balancing,5,0.2495,0.0628,0.8620,0.7861,0.3289
