experiment,method,sigmoid_k,pca_components,ffnn_epochs,traj_length,synth_pct,seed,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
grid_stage1,FORGE,0.0,10,10,2000,40,0,0.5376884341239929,0.8859268426895142,0.7992279529571533,0.7118076086044312,0.12694287300109863,0.8170064687728882,0.8539215424089884,0.20979039529010882,0.46190535960838464,0.08561666826905545,0.46190535960838464,0.27376101393872004,0.00414722654224987,0.21393762183235868,0.03225806451612903,0.49416342412451364,0.0005841121495327102,0.08620078041858815,0.6238532066345215,0.8470505475997925,0.7914824485778809,0.735451877117157,0.1544329971075058,0.7825294137001038,0.8455394278973581,0.09145309056293749,0.07439975613692196,0.004410989513746827,0.07439975613692196,0.03940537282533439,0.2669777086573354,0.3584307992202729,0.7880184331797235,0.7136186770428016,0.20093457943925233,0.1965235899255055
grid_stage1,FORGE,0.0,10,10,2000,40,1,0.5519713163375854,0.8822606205940247,0.8000304698944092,0.7171159982681274,0.1293327361345291,0.8135256171226501,0.8476756952621987,0.23075676335462894,0.46444021325209445,0.10486639944496942,0.46444021325209445,0.2846533063485319,0.01080802882141019,0.24156479217603913,0.0594059405940594,0.5238461538461539,0.005169442848937392,0.11003584229390681,0.6317606568336487,0.8509895205497742,0.7964094281196594,0.7413750886917114,0.1456647664308548,0.787833571434021,0.8629215338865476,0.1486071874838773,0.04194211728865194,0.048128933439563204,0.048128933439563204,0.04503552536410757,0.22645393721049922,0.3750611246943765,0.7673267326732673,0.7253846153846154,0.1636990235496841,0.2118279569892473
grid_stage1,FORGE,0.0,10,10,2000,40,2,0.5845661759376526,0.8913747668266296,0.8149904608726501,0.7379704713821411,0.12161494791507721,0.827780544757843,0.8598698388171321,0.17307507052392124,0.21334242758460553,0.06972028093743059,0.21334242758460553,0.14153135426101807,0.04776739356178609,0.22084246408570732,0.3037383177570093,0.5170807453416149,0.015771028037383176,0.08549130897481376,0.6496027708053589,0.8625821471214294,0.8095579147338867,0.7560924291610718,0.14191758632659912,0.802585780620575,0.871734252072055,0.10647727798523454,0.06378794914959074,0.0024676096448332796,0.06378794914959074,0.03312777939721201,0.24195223260643822,0.34842951059167276,0.7897196261682243,0.7259316770186336,0.17348130841121495,0.17594891805604823
grid_stage1,FORGE,0.0,10,10,4500,60,0,0.5376884341239929,0.8859268426895142,0.7992279529571533,0.7118076086044312,0.12694287300109863,0.8170064687728882,0.8539215424089884,0.20979039529010882,0.46190535960838464,0.08561666826905545,0.46190535960838464,0.27376101393872004,0.00414722654224987,0.21393762183235868,0.03225806451612903,0.49416342412451364,0.0005841121495327102,0.08620078041858815,0.625568151473999,0.8457757234573364,0.7909519076347351,0.7356719374656677,0.1510639190673828,0.7815349102020264,0.8529162617282746,0.10153656562349367,0.06428302461941227,0.0051455328163695635,0.06428302461941227,0.034714278717890915,0.2654224987039917,0.3669590643274854,0.7880184331797235,0.7237354085603113,0.1991822429906542,0.20432777580702377
grid_stage1,FORGE,0.0,10,10,4500,60,1,0.5519713163375854,0.8822606205940247,0.8000304698944092,0.7171159982681274,0.1293327361345291,0.8135256171226501,0.8476756952621987,0.23075676335462894,0.46444021325209445,0.10486639944496942,0.46444021325209445,0.2846533063485319,0.01080802882141019,0.24156479217603913,0.0594059405940594,0.5238461538461539,0.005169442848937392,0.11003584229390681,0.6329185366630554,0.8478311896324158,0.7943256497383118,0.7403748631477356,0.1486879587173462,0.784850001335144,0.8644902507684156,0.11013543697078221,0.11158415841584157,0.010803126782078454,0.11158415841584157,0.06119364259896001,0.2624806999485332,0.3726161369193154,0.8415841584158416,0.73,0.19529006318207925,0.2060931899641577
grid_stage1,FORGE,0.0,10,10,4500,60,2,0.5845661759376526,0.8913747668266296,0.8149904608726501,0.7379704713821411,0.12161494791507721,0.827780544757843,0.8598698388171321,0.17307507052392124,0.21334242758460553,0.06972028093743059,0.21334242758460553,0.14153135426101807,0.04776739356178609,0.22084246408570732,0.3037383177570093,0.5170807453416149,0.015771028037383176,0.08549130897481376,0.6383103728294373,0.8575718998908997,0.8029836416244507,0.7479411363601685,0.14426189661026,0.7956240773200989,0.8715289787970487,0.09442089222336758,0.06531171997445873,0.00802506688591767,0.06531171997445873,0.0366683934301882,0.2518172377985462,0.3462381300219138,0.780373831775701,0.7150621118012422,0.18574766355140188,0.1777225966654842
grid_stage1,FORGE,0.0,10,10,750,20,0,0.5376884341239929,0.8859268426895142,0.7992279529571533,0.7118076086044312,0.12694287300109863,0.8170064687728882,0.8539215424089884,0.20979039529010882,0.46190535960838464,0.08561666826905545,0.46190535960838464,0.27376101393872004,0.00414722654224987,0.21393762183235868,0.03225806451612903,0.49416342412451364,0.0005841121495327102,0.08620078041858815,0.6118752360343933,0.872647225856781,0.8077243566513062,0.7422612309455872,0.14033354818820953,0.8082214593887329,0.8387940628562344,0.09594250876889823,0.038996575158242064,0.005854797054698921,0.038996575158242064,0.022425686106470492,0.17988595127008813,0.27582846003898637,0.6405529953917051,0.601556420233463,0.12149532710280374,0.12735012415750266
grid_stage1,FORGE,0.0,10,10,750,20,1,0.5519713163375854,0.8822606205940247,0.8000304698944092,0.7171159982681274,0.1293327361345291,0.8135256171226501,0.8476756952621987,0.23075676335462894,0.46444021325209445,0.10486639944496942,0.46444021325209445,0.2846533063485319,0.01080802882141019,0.24156479217603913,0.0594059405940594,0.5238461538461539,0.005169442848937392,0.11003584229390681,0.6005719304084778,0.8590649366378784,0.7947095036506653,0.7298184633255005,0.14197693765163422,0.7916459441184998,0.8396674661108077,0.08866459373313018,0.011957349581111942,0.017751920269939214,0.017751920269939214,0.014854634925525578,0.2125579001544004,0.3012224938875306,0.6188118811881188,0.6307692307692307,0.16542217116599656,0.14767025089605734
grid_stage1,FORGE,0.0,10,10,750,20,2,0.5845661759376526,0.8913747668266296,0.8149904608726501,0.7379704713821411,0.12161494791507721,0.827780544757843,0.8598698388171321,0.17307507052392124,0.21334242758460553,0.06972028093743059,0.21334242758460553,0.14153135426101807,0.04776739356178609,0.22084246408570732,0.3037383177570093,0.5170807453416149,0.015771028037383176,0.08549130897481376,0.62442547082901,0.8731707334518433,0.8112421035766602,0.748798131942749,0.14271576702594757,0.8103762865066528,0.8493741589599799,0.08306765972843264,0.10628664306031232,0.004637879476052015,0.10628664306031232,0.05546226126818217,0.19937694704049844,0.2824446067689311,0.7242990654205608,0.6180124223602484,0.13376168224299065,0.12912380276693863
grid_stage1,FORGE,0.0,10,20,2000,40,0,0.5902534127235413,0.8893800973892212,0.8149083256721497,0.7398167848587036,0.12086278945207596,0.8257914781570435,0.8698467518185861,0.24225009776904677,0.48137495741361686,0.10667143515464157,0.48137495741361686,0.2940231962841292,0.011404872991187144,0.2536549707602339,0.09216589861751152,0.5735408560311284,0.0011682242990654205,0.10783965945370699,0.6110790967941284,0.8432558178901672,0.785452127456665,0.7271674871444702,0.14859803020954132,0.7765622138977051,0.8498655952293139,0.13105448085394064,0.005397263712815348,0.0375037711390995,0.0375037711390995,0.021450517425957424,0.2363919129082426,0.36744639376218324,0.7096774193548387,0.7042801556420234,0.1764018691588785,0.213905640297978
