[validate_spec] experiment_specs/capture24/paper_final_fold0.yaml: OK
[main] spec=paper_final_fold0.yaml device=cuda:1
[main] exp_group=SPEC_paper_final_fold0_ca8c4cff__G202606031753
[main] seeds=[42]
[Training Process 0] ---- running seed=42 ----
FFNN Using device: cuda:1
FFNN Using device: cuda:1
[Tracker Process 0] SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9
[Tracker Process 0] seed dir: training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42
[Tracker Process 0] metrics:  training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/metrics.csv
[capture24-kfold] 992,430 windows, fold 0/5
[TRAIN] n=4,000  pos=150 (3.8%)  female=1,927  f_pos=60  m_pos=90
[VAL] n=4,000  pos=142 (3.5%)  female=2,276  f_pos=85  m_pos=57
[TEST] n=108,395  pos=3,840 (3.5%)  female=61,677  f_pos=2,300  m_pos=1,540
fold 0 | held_out=[np.int64(17), np.int64(2), np.int64(12), np.int64(13), np.int64(29), np.int64(26), np.int64(22), np.int64(36)] | dim=15
FFNN Using device: cuda:1
FFNN Using device: cuda:1
Beta trains with: 80.0% real, 20.0% synthetic
[alpha Process 0] disadv_group=1 wgl=2.5809 soft_eo=0.2345
[Tracker Process 0] alpha weights → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/alpha_state_dict.pt
[Tracker Process 0] alpha config  → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/ffnn_meta.json

============================================================
[FORGE Process 0] Training | episodes=5000
============================================================
[Tracker Process 0] CSV header: 33 columns
[Tracker Process 0] Ep    1 | WGL_reward=0.1052 | F1w=0.6032 | WGL_beta=3.0091 | EO=0.3449
[Tracker Process 0] Ep  580 | WGL_reward=0.9954 | F1w=0.7010 | WGL_beta=1.5046 | EO=0.1096
[Tracker Process 0] Ep  581 | WGL_reward=0.9950 | F1w=0.6950 | WGL_beta=1.5231 | EO=0.1214
[Tracker Process 0] Ep  582 | WGL_reward=0.9851 | F1w=0.6993 | WGL_beta=1.7425 | EO=0.1214
[Tracker Process 0] Ep  583 | WGL_reward=0.9962 | F1w=0.7141 | WGL_beta=1.4664 | EO=0.0625
[Tracker Process 0] Ep  584 | WGL_reward=0.9967 | F1w=0.7227 | WGL_beta=1.4376 | EO=0.0097
[Tracker Process 0] Ep  585 | WGL_reward=0.9972 | F1w=0.7130 | WGL_beta=1.4072 | EO=0.0625
[Tracker Process 0] Ep  586 | WGL_reward=0.9922 | F1w=0.7037 | WGL_beta=1.6110 | EO=0.0334
[Tracker Process 0] Ep  587 | WGL_reward=0.9955 | F1w=0.7010 | WGL_beta=1.5017 | EO=0.1096
[Tracker Process 0] Ep  588 | WGL_reward=0.9942 | F1w=0.7028 | WGL_beta=1.5531 | EO=0.0978
[Tracker Process 0] Ep  589 | WGL_reward=0.9948 | F1w=0.7115 | WGL_beta=1.5300 | EO=0.0450
[Tracker Process 0] Ep  590 | WGL_reward=0.9929 | F1w=0.6850 | WGL_beta=1.5934 | EO=0.0921
[Tracker Process 0] Ep  591 | WGL_reward=0.9963 | F1w=0.7164 | WGL_beta=1.4607 | EO=0.0625
[Tracker Process 0] Ep  592 | WGL_reward=0.9963 | F1w=0.7148 | WGL_beta=1.4621 | EO=0.0743
[Tracker Process 0] Ep  593 | WGL_reward=0.9966 | F1w=0.7196 | WGL_beta=1.4428 | EO=0.0272
[Tracker Process 0] Ep  594 | WGL_reward=0.9957 | F1w=0.7104 | WGL_beta=1.4914 | EO=0.0743
[Tracker Process 0] Ep  595 | WGL_reward=0.9957 | F1w=0.7038 | WGL_beta=1.4934 | EO=0.0099
[Tracker Process 0] Ep  596 | WGL_reward=0.9950 | F1w=0.7038 | WGL_beta=1.5233 | EO=0.0685
[Tracker Process 0] Ep  597 | WGL_reward=0.9966 | F1w=0.7028 | WGL_beta=1.4459 | EO=0.0685
[Tracker Process 0] Ep  598 | WGL_reward=0.9953 | F1w=0.6937 | WGL_beta=1.5097 | EO=0.0803
[Tracker Process 0] Ep  599 | WGL_reward=0.9941 | F1w=0.7028 | WGL_beta=1.5551 | EO=0.0392
[Tracker Process 0] Ep  600 | WGL_reward=0.9974 | F1w=0.7093 | WGL_beta=1.3902 | EO=0.0743
[Tracker Process 0] snapshot ep0600_phase1_class1
[Tracker Process 0] Ep  601 | WGL_reward=0.9937 | F1w=0.7017 | WGL_beta=1.5689 | EO=0.0685
[Tracker Process 0] Ep  602 | WGL_reward=0.9953 | F1w=0.7115 | WGL_beta=1.5110 | EO=0.0450
[Tracker Process 0] Ep  603 | WGL_reward=0.9960 | F1w=0.6896 | WGL_beta=1.4787 | EO=0.0978
[Tracker Process 0] Ep  604 | WGL_reward=0.9966 | F1w=0.7092 | WGL_beta=1.4444 | EO=0.0508
[Tracker Process 0] Ep  605 | WGL_reward=0.9911 | F1w=0.6985 | WGL_beta=1.6373 | EO=0.0978
[Tracker Process 0] Ep  606 | WGL_reward=0.9962 | F1w=0.7088 | WGL_beta=1.4686 | EO=0.0861
[Tracker Process 0] Ep  607 | WGL_reward=0.9922 | F1w=0.6771 | WGL_beta=1.6118 | EO=0.1684
[Tracker Process 0] Ep  608 | WGL_reward=0.9933 | F1w=0.7010 | WGL_beta=1.5809 | EO=0.1096
[Tracker Process 0] Ep  609 | WGL_reward=0.9966 | F1w=0.7088 | WGL_beta=1.4439 | EO=0.0861
[Tracker Process 0] Ep  610 | WGL_reward=0.9963 | F1w=0.7152 | WGL_beta=1.4640 | EO=0.0625
[Tracker Process 0] Ep  611 | WGL_reward=0.9968 | F1w=0.7071 | WGL_beta=1.4337 | EO=0.0685
[Tracker Process 0] Ep  612 | WGL_reward=0.9932 | F1w=0.7156 | WGL_beta=1.5839 | EO=0.0215
[Tracker Process 0] Ep  613 | WGL_reward=0.9923 | F1w=0.6978 | WGL_beta=1.6080 | EO=0.1096
[Tracker Process 0] Ep  614 | WGL_reward=0.9964 | F1w=0.7152 | WGL_beta=1.4554 | EO=0.0625
[Tracker Process 0] Ep  615 | WGL_reward=0.9960 | F1w=0.7050 | WGL_beta=1.4777 | EO=0.0450
[Tracker Process 0] Ep  616 | WGL_reward=0.9937 | F1w=0.7049 | WGL_beta=1.5693 | EO=0.0978
[Tracker Process 0] Ep  617 | WGL_reward=0.9968 | F1w=0.6917 | WGL_beta=1.4312 | EO=0.0510
[Tracker Process 0] Ep  618 | WGL_reward=0.9952 | F1w=0.7021 | WGL_beta=1.5126 | EO=0.0803
[Tracker Process 0] Ep  619 | WGL_reward=0.9960 | F1w=0.7137 | WGL_beta=1.4777 | EO=0.0450
[Tracker Process 0] Ep  620 | WGL_reward=0.9950 | F1w=0.6693 | WGL_beta=1.5211 | EO=0.0630
[Tracker Process 0] Ep  621 | WGL_reward=0.9961 | F1w=0.7050 | WGL_beta=1.4744 | EO=0.0743
[Tracker Process 0] Ep  622 | WGL_reward=0.9965 | F1w=0.7156 | WGL_beta=1.4522 | EO=0.0215
[Tracker Process 0] Ep  623 | WGL_reward=0.9885 | F1w=0.7043 | WGL_beta=1.6908 | EO=0.1096
[Tracker Process 0] Ep  624 | WGL_reward=0.9908 | F1w=0.6558 | WGL_beta=1.6446 | EO=0.1333
[Tracker Process 0] Ep  625 | WGL_reward=0.9965 | F1w=0.6989 | WGL_beta=1.4517 | EO=0.0803
[Tracker Process 0] Ep  626 | WGL_reward=0.9963 | F1w=0.7019 | WGL_beta=1.4628 | EO=0.0743
[Tracker Process 0] Ep  627 | WGL_reward=0.9953 | F1w=0.7152 | WGL_beta=1.5117 | EO=0.0625
[Tracker Process 0] Ep  628 | WGL_reward=0.9930 | F1w=0.7104 | WGL_beta=1.5901 | EO=0.0743
[Tracker Process 0] Ep  629 | WGL_reward=0.9953 | F1w=0.7098 | WGL_beta=1.5100 | EO=0.1212
[Tracker Process 0] Ep  630 | WGL_reward=0.9974 | F1w=0.7117 | WGL_beta=1.3887 | EO=0.0976
[Tracker Process 0] Ep  631 | WGL_reward=0.9981 | F1w=0.7035 | WGL_beta=1.3313 | EO=0.0918
[Tracker Process 0] new best_phase1_class1 (reward.wgl_reward=0.998070)
[Tracker Process 0] best β_phase1_class1 → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/best_beta_state_dict_phase1_class1.pt
[Tracker Process 0] Ep  632 | WGL_reward=0.9949 | F1w=0.7028 | WGL_beta=1.5280 | EO=0.0978
[Tracker Process 0] Ep  633 | WGL_reward=0.9947 | F1w=0.6982 | WGL_beta=1.5331 | EO=0.1447
[Tracker Process 0] Ep  634 | WGL_reward=0.9941 | F1w=0.6757 | WGL_beta=1.5554 | EO=0.1624
[Tracker Process 0] Ep  635 | WGL_reward=0.9966 | F1w=0.7099 | WGL_beta=1.4463 | EO=0.0861
[Tracker Process 0] Ep  636 | WGL_reward=0.9981 | F1w=0.7279 | WGL_beta=1.3260 | EO=0.0506
[Tracker Process 0] new best_phase1_class1 (reward.wgl_reward=0.998120)
[Tracker Process 0] best β_phase1_class1 → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/best_beta_state_dict_phase1_class1.pt
[Tracker Process 0] Ep  637 | WGL_reward=0.9938 | F1w=0.6831 | WGL_beta=1.5648 | EO=0.1214
[Tracker Process 0] Ep  638 | WGL_reward=0.9971 | F1w=0.6915 | WGL_beta=1.4109 | EO=0.0685
[Tracker Process 0] Ep  639 | WGL_reward=0.9915 | F1w=0.6911 | WGL_beta=1.6292 | EO=0.1331
[Tracker Process 0] Ep  640 | WGL_reward=0.9966 | F1w=0.7156 | WGL_beta=1.4428 | EO=0.0215
[Tracker Process 0] Ep  641 | WGL_reward=0.9957 | F1w=0.6999 | WGL_beta=1.4931 | EO=0.0450
[Tracker Process 0] Ep  642 | WGL_reward=0.9923 | F1w=0.6911 | WGL_beta=1.6087 | EO=0.1329
[Tracker Process 0] Ep  643 | WGL_reward=0.9945 | F1w=0.6942 | WGL_beta=1.5412 | EO=0.0452
[Tracker Process 0] Ep  644 | WGL_reward=0.9943 | F1w=0.6964 | WGL_beta=1.5498 | EO=0.0745
[Tracker Process 0] Ep  645 | WGL_reward=0.9961 | F1w=0.7263 | WGL_beta=1.4716 | EO=0.0272
[Tracker Process 0] Ep  646 | WGL_reward=0.9939 | F1w=0.6737 | WGL_beta=1.5624 | EO=0.1449
[Tracker Process 0] Ep  647 | WGL_reward=0.9927 | F1w=0.6715 | WGL_beta=1.5994 | EO=0.1800
[Tracker Process 0] Ep  648 | WGL_reward=0.9952 | F1w=0.7093 | WGL_beta=1.5126 | EO=0.0157
[Tracker Process 0] Ep  649 | WGL_reward=0.9942 | F1w=0.7049 | WGL_beta=1.5509 | EO=0.0685
[Tracker Process 0] Ep  650 | WGL_reward=0.9970 | F1w=0.7034 | WGL_beta=1.4164 | EO=0.0861
[Tracker Process 0] Ep  651 | WGL_reward=0.9960 | F1w=0.6945 | WGL_beta=1.4765 | EO=0.0978
[Tracker Process 0] Ep  652 | WGL_reward=0.9965 | F1w=0.7142 | WGL_beta=1.4488 | EO=0.0272
[Tracker Process 0] Ep  653 | WGL_reward=0.9965 | F1w=0.6932 | WGL_beta=1.4501 | EO=0.0861
[Tracker Process 0] Ep  654 | WGL_reward=0.9962 | F1w=0.7098 | WGL_beta=1.4673 | EO=0.0039
[Tracker Process 0] Ep  655 | WGL_reward=0.9947 | F1w=0.7093 | WGL_beta=1.5357 | EO=0.0157
[Tracker Process 0] Ep  656 | WGL_reward=0.9964 | F1w=0.7093 | WGL_beta=1.4547 | EO=0.0743
[Tracker Process 0] Ep  657 | WGL_reward=0.9953 | F1w=0.7213 | WGL_beta=1.5109 | EO=0.0508
[Tracker Process 0] Ep  658 | WGL_reward=0.9920 | F1w=0.7061 | WGL_beta=1.6160 | EO=0.0078
[Tracker Process 0] Ep  659 | WGL_reward=0.9967 | F1w=0.7006 | WGL_beta=1.4370 | EO=0.0685
[Tracker Process 0] Ep  660 | WGL_reward=0.9915 | F1w=0.6975 | WGL_beta=1.6294 | EO=0.0194
[Tracker Process 0] Ep  661 | WGL_reward=0.9895 | F1w=0.6831 | WGL_beta=1.6711 | EO=0.1214
[Tracker Process 0] Ep  662 | WGL_reward=0.9895 | F1w=0.6932 | WGL_beta=1.6719 | EO=0.0312
[Tracker Process 0] Ep  663 | WGL_reward=0.9946 | F1w=0.7193 | WGL_beta=1.5365 | EO=0.0097
[Tracker Process 0] Ep  664 | WGL_reward=0.9955 | F1w=0.6880 | WGL_beta=1.5001 | EO=0.1038
[Tracker Process 0] Ep  665 | WGL_reward=0.9955 | F1w=0.7190 | WGL_beta=1.5026 | EO=0.0508
[Tracker Process 0] Ep  666 | WGL_reward=0.9970 | F1w=0.7152 | WGL_beta=1.4224 | EO=0.0625
[Tracker Process 0] Ep  667 | WGL_reward=0.9897 | F1w=0.6937 | WGL_beta=1.6669 | EO=0.0076
[Tracker Process 0] Ep  668 | WGL_reward=0.9943 | F1w=0.7038 | WGL_beta=1.5478 | EO=0.0099
[Tracker Process 0] Ep  669 | WGL_reward=0.9935 | F1w=0.7017 | WGL_beta=1.5738 | EO=0.0487
[Tracker Process 0] Ep  670 | WGL_reward=0.9923 | F1w=0.7055 | WGL_beta=1.6083 | EO=0.0019
[Tracker Process 0] Ep  671 | WGL_reward=0.9949 | F1w=0.7182 | WGL_beta=1.5264 | EO=0.0390
[Tracker Process 0] Ep  672 | WGL_reward=0.9947 | F1w=0.7119 | WGL_beta=1.5322 | EO=0.0625
[Tracker Process 0] Ep  673 | WGL_reward=0.9953 | F1w=0.7094 | WGL_beta=1.5102 | EO=0.0978
[Tracker Process 0] Ep  674 | WGL_reward=0.9951 | F1w=0.7126 | WGL_beta=1.5193 | EO=0.0157
[Tracker Process 0] Ep  675 | WGL_reward=0.9860 | F1w=0.7093 | WGL_beta=1.7299 | EO=0.1602
[Tracker Process 0] Ep  676 | WGL_reward=0.9943 | F1w=0.6993 | WGL_beta=1.5496 | EO=0.1214
[Tracker Process 0] Ep  677 | WGL_reward=0.9895 | F1w=0.7275 | WGL_beta=1.6710 | EO=0.0607
[Tracker Process 0] Ep  678 | WGL_reward=0.9967 | F1w=0.7115 | WGL_beta=1.4387 | EO=0.0743
[Tracker Process 0] Ep  679 | WGL_reward=0.9932 | F1w=0.6851 | WGL_beta=1.5835 | EO=0.0134
[Tracker Process 0] Ep  680 | WGL_reward=0.9969 | F1w=0.7141 | WGL_beta=1.4285 | EO=0.0625
[Tracker Process 0] Ep  681 | WGL_reward=0.9921 | F1w=0.7082 | WGL_beta=1.6147 | EO=0.0194
[Tracker Process 0] Ep  682 | WGL_reward=0.9967 | F1w=0.7126 | WGL_beta=1.4405 | EO=0.0743
[Tracker Process 0] Ep  683 | WGL_reward=0.9962 | F1w=0.7231 | WGL_beta=1.4668 | EO=0.0138
[Tracker Process 0] Ep  684 | WGL_reward=0.9934 | F1w=0.7218 | WGL_beta=1.5781 | EO=0.0021
[Tracker Process 0] Ep  685 | WGL_reward=0.9946 | F1w=0.7178 | WGL_beta=1.5391 | EO=0.0508
[Tracker Process 0] Ep  686 | WGL_reward=0.9931 | F1w=0.7371 | WGL_beta=1.5874 | EO=0.0080
[Tracker Process 0] Ep  687 | WGL_reward=0.9965 | F1w=0.7137 | WGL_beta=1.4514 | EO=0.0743
[Tracker Process 0] Ep  688 | WGL_reward=0.9960 | F1w=0.6982 | WGL_beta=1.4750 | EO=0.1214
[Tracker Process 0] Ep  689 | WGL_reward=0.9944 | F1w=0.7156 | WGL_beta=1.5463 | EO=0.0508
[Tracker Process 0] Ep  690 | WGL_reward=0.9880 | F1w=0.6774 | WGL_beta=1.6982 | EO=0.0017
[Tracker Process 0] Ep  691 | WGL_reward=0.9948 | F1w=0.7108 | WGL_beta=1.5317 | EO=0.0625
[Tracker Process 0] Ep  692 | WGL_reward=0.9891 | F1w=0.6813 | WGL_beta=1.6786 | EO=0.1096
[Tracker Process 0] Ep  693 | WGL_reward=0.9974 | F1w=0.7130 | WGL_beta=1.3925 | EO=0.0625
[Tracker Process 0] Ep  694 | WGL_reward=0.9931 | F1w=0.7077 | WGL_beta=1.5877 | EO=0.0019
[Tracker Process 0] Ep  695 | WGL_reward=0.9955 | F1w=0.7049 | WGL_beta=1.5021 | EO=0.0392
[Tracker Process 0] Ep  696 | WGL_reward=0.9941 | F1w=0.7201 | WGL_beta=1.5564 | EO=0.0078
[Tracker Process 0] Ep  697 | WGL_reward=0.9941 | F1w=0.7015 | WGL_beta=1.5558 | EO=0.1214
[Tracker Process 0] Ep  698 | WGL_reward=0.9952 | F1w=0.7164 | WGL_beta=1.5141 | EO=0.0625
[Tracker Process 0] Ep  699 | WGL_reward=0.9945 | F1w=0.7254 | WGL_beta=1.5414 | EO=0.0138
[Tracker Process 0] Ep  700 | WGL_reward=0.9976 | F1w=0.6822 | WGL_beta=1.3743 | EO=0.1096
[Tracker Process 0] Ep  701 | WGL_reward=0.9937 | F1w=0.6993 | WGL_beta=1.5678 | EO=0.1214
[Tracker Process 0] Ep  702 | WGL_reward=0.9962 | F1w=0.7148 | WGL_beta=1.4695 | EO=0.0743
[Tracker Process 0] Ep  703 | WGL_reward=0.9962 | F1w=0.7050 | WGL_beta=1.4657 | EO=0.0450
[Tracker Process 0] Ep  704 | WGL_reward=0.9959 | F1w=0.7224 | WGL_beta=1.4839 | EO=0.0508
[Tracker Process 0] Ep  705 | WGL_reward=0.9971 | F1w=0.6969 | WGL_beta=1.4101 | EO=0.0743
[Tracker Process 0] Ep  706 | WGL_reward=0.9963 | F1w=0.7071 | WGL_beta=1.4620 | EO=0.0743
[Tracker Process 0] Ep  707 | WGL_reward=0.9932 | F1w=0.7252 | WGL_beta=1.5838 | EO=0.0021
[Tracker Process 0] Ep  708 | WGL_reward=0.9958 | F1w=0.7021 | WGL_beta=1.4866 | EO=0.1096
[Tracker Process 0] Ep  709 | WGL_reward=0.9964 | F1w=0.7098 | WGL_beta=1.4559 | EO=0.0625
[Tracker Process 0] Ep  710 | WGL_reward=0.9960 | F1w=0.7049 | WGL_beta=1.4781 | EO=0.0978
[Tracker Process 0] Ep  711 | WGL_reward=0.9937 | F1w=0.7171 | WGL_beta=1.5689 | EO=0.0743
[Tracker Process 0] Ep  712 | WGL_reward=0.9962 | F1w=0.6996 | WGL_beta=1.4687 | EO=0.0978
[Tracker Process 0] Ep  713 | WGL_reward=0.9971 | F1w=0.7126 | WGL_beta=1.4109 | EO=0.0743
[Tracker Process 0] Ep  714 | WGL_reward=0.9966 | F1w=0.7066 | WGL_beta=1.4461 | EO=0.0861
[Tracker Process 0] Ep  715 | WGL_reward=0.9968 | F1w=0.7032 | WGL_beta=1.4319 | EO=0.1096
[Tracker Process 0] Ep  716 | WGL_reward=0.9961 | F1w=0.7021 | WGL_beta=1.4712 | EO=0.1096
[Tracker Process 0] Ep  717 | WGL_reward=0.9959 | F1w=0.6950 | WGL_beta=1.4825 | EO=0.0921
[Tracker Process 0] Ep  718 | WGL_reward=0.9958 | F1w=0.7178 | WGL_beta=1.4861 | EO=0.0508
[Tracker Process 0] Ep  719 | WGL_reward=0.9941 | F1w=0.6911 | WGL_beta=1.5560 | EO=0.1331
[Tracker Process 0] Ep  720 | WGL_reward=0.9936 | F1w=0.7186 | WGL_beta=1.5714 | EO=0.0625
[Tracker Process 0] Ep  721 | WGL_reward=0.9953 | F1w=0.7108 | WGL_beta=1.5095 | EO=0.0039
[Tracker Process 0] Ep  722 | WGL_reward=0.9958 | F1w=0.7236 | WGL_beta=1.4883 | EO=0.0508
[Tracker Process 0] Ep  723 | WGL_reward=0.9956 | F1w=0.7000 | WGL_beta=1.4971 | EO=0.0803
[Tracker Process 0] Ep  724 | WGL_reward=0.9919 | F1w=0.7049 | WGL_beta=1.6201 | EO=0.0099
[Tracker Process 0] Ep  725 | WGL_reward=0.9964 | F1w=0.7175 | WGL_beta=1.4584 | EO=0.0625
[Tracker Process 0] Ep  726 | WGL_reward=0.9954 | F1w=0.7071 | WGL_beta=1.5064 | EO=0.0978
[Tracker Process 0] Ep  727 | WGL_reward=0.9804 | F1w=0.6619 | WGL_beta=1.7981 | EO=0.2272
[Tracker Process 0] Ep  728 | WGL_reward=0.9930 | F1w=0.6869 | WGL_beta=1.5893 | EO=0.1214
[Tracker Process 0] Ep  729 | WGL_reward=0.9958 | F1w=0.7034 | WGL_beta=1.4874 | EO=0.0861
[Tracker Process 0] Ep  730 | WGL_reward=0.9949 | F1w=0.6803 | WGL_beta=1.5265 | EO=0.0921
[Tracker Process 0] Ep  731 | WGL_reward=0.9956 | F1w=0.6831 | WGL_beta=1.4950 | EO=0.0921
[Tracker Process 0] Ep  732 | WGL_reward=0.9942 | F1w=0.7034 | WGL_beta=1.5520 | EO=0.0275
[Tracker Process 0] Ep  733 | WGL_reward=0.9930 | F1w=0.7287 | WGL_beta=1.5906 | EO=0.0607
[Tracker Process 0] Ep  734 | WGL_reward=0.9959 | F1w=0.7137 | WGL_beta=1.4841 | EO=0.0450
[Tracker Process 0] Ep  735 | WGL_reward=0.9964 | F1w=0.7175 | WGL_beta=1.4562 | EO=0.0625
[Tracker Process 0] Ep  736 | WGL_reward=0.9930 | F1w=0.6622 | WGL_beta=1.5898 | EO=0.1509
[Tracker Process 0] Ep  737 | WGL_reward=0.9952 | F1w=0.7040 | WGL_beta=1.5153 | EO=0.0450
[Tracker Process 0] Ep  738 | WGL_reward=0.9970 | F1w=0.7198 | WGL_beta=1.4217 | EO=0.0918
[Tracker Process 0] Ep  739 | WGL_reward=0.9964 | F1w=0.7082 | WGL_beta=1.4539 | EO=0.0978
[Tracker Process 0] Ep  740 | WGL_reward=0.9972 | F1w=0.7108 | WGL_beta=1.4081 | EO=0.0625
[Tracker Process 0] Ep  741 | WGL_reward=0.9958 | F1w=0.7071 | WGL_beta=1.4854 | EO=0.0978
[Tracker Process 0] Ep  742 | WGL_reward=0.9962 | F1w=0.6822 | WGL_beta=1.4674 | EO=0.0978
[Tracker Process 0] Ep  743 | WGL_reward=0.9937 | F1w=0.6993 | WGL_beta=1.5675 | EO=0.0627
[Tracker Process 0] Ep  744 | WGL_reward=0.9965 | F1w=0.7167 | WGL_beta=1.4517 | EO=0.0508
[Tracker Process 0] Ep  745 | WGL_reward=0.9962 | F1w=0.7148 | WGL_beta=1.4667 | EO=0.0743
[Tracker Process 0] Ep  746 | WGL_reward=0.9972 | F1w=0.7055 | WGL_beta=1.4044 | EO=0.0861
[Tracker Process 0] Ep  747 | WGL_reward=0.9941 | F1w=0.7028 | WGL_beta=1.5549 | EO=0.0392
[Tracker Process 0] Ep  748 | WGL_reward=0.9961 | F1w=0.7088 | WGL_beta=1.4701 | EO=0.0861
[Tracker Process 0] Ep  749 | WGL_reward=0.9984 | F1w=0.7127 | WGL_beta=1.2986 | EO=0.0683
[Tracker Process 0] new best_phase1_class1 (reward.wgl_reward=0.998360)
[Tracker Process 0] best β_phase1_class1 → training_runs/SPECpaper_final_fold0_EP5000_PCA15_K5_minID1_majID0_TRJ1000_REAL4000_GG202606031753_cdc8eaf9/seed_42/best_beta_state_dict_phase1_class1.pt
[Tracker Process 0] Ep  750 | WGL_reward=0.9940 | F1w=0.7077 | WGL_beta=1.5605 | EO=0.0275
[Tracker Process 0] snapshot ep0750_phase1_class1
[Tracker Process 0] Ep  751 | WGL_reward=0.9960 | F1w=0.6813 | WGL_beta=1.4768 | EO=0.1271
[Tracker Process 0] Ep  752 | WGL_reward=0.9942 | F1w=0.7000 | WGL_beta=1.5528 | EO=0.1096
[Tracker Process 0] Ep  753 | WGL_reward=0.9980 | F1w=0.7087 | WGL_beta=1.3396 | EO=0.0625
[Tracker Process 0] Ep  754 | WGL_reward=0.9931 | F1w=0.7077 | WGL_beta=1.5873 | EO=0.0568
[Tracker Process 0] Ep  755 | WGL_reward=0.9964 | F1w=0.7028 | WGL_beta=1.4584 | EO=0.0978
[Tracker Process 0] Ep  756 | WGL_reward=0.9967 | F1w=0.7104 | WGL_beta=1.4404 | EO=0.0743
[Tracker Process 0] Ep  757 | WGL_reward=0.9917 | F1w=0.7066 | WGL_beta=1.6246 | EO=0.0861
[Tracker Process 0] Ep  758 | WGL_reward=0.9897 | F1w=0.7213 | WGL_beta=1.6670 | EO=0.0665
[Tracker Process 0] Ep  759 | WGL_reward=0.9958 | F1w=0.7148 | WGL_beta=1.4849 | EO=0.0743
[Tracker Process 0] Ep  760 | WGL_reward=0.9971 | F1w=0.7300 | WGL_beta=1.4127 | EO=0.0155
[Tracker Process 0] Ep  761 | WGL_reward=0.9970 | F1w=0.6869 | WGL_beta=1.4198 | EO=0.1214
[Tracker Process 0] Ep  762 | WGL_reward=0.9950 | F1w=0.7255 | WGL_beta=1.5235 | EO=0.0256
[Tracker Process 0] Ep  763 | WGL_reward=0.9941 | F1w=0.7094 | WGL_beta=1.5560 | EO=0.0978
[Tracker Process 0] Ep  764 | WGL_reward=0.9957 | F1w=0.6992 | WGL_beta=1.4940 | EO=0.1154
[Tracker Process 0] Ep  765 | WGL_reward=0.9971 | F1w=0.7130 | WGL_beta=1.4107 | EO=0.0625
[Tracker Process 0] Ep  766 | WGL_reward=0.9952 | F1w=0.7038 | WGL_beta=1.5132 | EO=0.0685
[Tracker Process 0] Ep  767 | WGL_reward=0.9973 | F1w=0.7312 | WGL_beta=1.4014 | EO=0.0037
[Tracker Process 0] Ep  768 | WGL_reward=0.9959 | F1w=0.7066 | WGL_beta=1.4821 | EO=0.0861
[Tracker Process 0] Ep  769 | WGL_reward=0.9959 | F1w=0.7252 | WGL_beta=1.4799 | EO=0.0272
[Tracker Process 0] Ep  770 | WGL_reward=0.9966 | F1w=0.7145 | WGL_beta=1.4451 | EO=0.0508
[Tracker Process 0] Ep  771 | WGL_reward=0.9960 | F1w=0.7222 | WGL_beta=1.4759 | EO=0.0037
[Tracker Process 0] Ep  772 | WGL_reward=0.9967 | F1w=0.7066 | WGL_beta=1.4414 | EO=0.0803
[Tracker Process 0] Ep  773 | WGL_reward=0.9957 | F1w=0.6982 | WGL_beta=1.4898 | EO=0.1214
[Tracker Process 0] Ep  774 | WGL_reward=0.9941 | F1w=0.7049 | WGL_beta=1.5539 | EO=0.0392
[Tracker Process 0] Ep  775 | WGL_reward=0.9918 | F1w=0.6921 | WGL_beta=1.6224 | EO=0.1331
[Tracker Process 0] Ep  776 | WGL_reward=0.9956 | F1w=0.6666 | WGL_beta=1.4950 | EO=0.1509
[Tracker Process 0] Ep  777 | WGL_reward=0.9961 | F1w=0.7266 | WGL_beta=1.4712 | EO=0.0037
[Tracker Process 0] Ep  778 | WGL_reward=0.9964 | F1w=0.7115 | WGL_beta=1.4584 | EO=0.0743
[Tracker Process 0] Ep  779 | WGL_reward=0.9969 | F1w=0.7077 | WGL_beta=1.4294 | EO=0.0861
[Tracker Process 0] Ep  780 | WGL_reward=0.9964 | F1w=0.7164 | WGL_beta=1.4585 | EO=0.0625
[Tracker Process 0] Ep  781 | WGL_reward=0.9980 | F1w=0.7145 | WGL_beta=1.3370 | EO=0.0508
[Tracker Process 0] Ep  782 | WGL_reward=0.9962 | F1w=0.7186 | WGL_beta=1.4668 | EO=0.0918
[Tracker Process 0] Ep  783 | WGL_reward=0.9933 | F1w=0.6748 | WGL_beta=1.5812 | EO=0.1331
