method,dataset,seed,eo_tpr_diff,eod_max_diff,eod_avg_diff,dp_diff,tpr_g0,tpr_g1,fpr_g0,fpr_g1,f1_weighted,f1_macro,f1_minority,f1_majority,roc_auc,brier,acc
CTGAN,Census,0,0.091956,0.091956,0.075156,0.133443,0.342342,0.434298,0.024071,0.082427,0.798132,0.704345,0.523357,0.885333,0.847819,0.152703,0.815139
CTGAN,Census,2,0.195147,0.195147,0.124504,0.126923,0.187251,0.382398,0.018707,0.072568,0.779769,0.671790,0.463415,0.880165,0.832878,0.166024,0.804084
CTGAN,Census,3,0.068552,0.069959,0.069256,0.143943,0.436735,0.505287,0.049325,0.119284,0.799985,0.716122,0.554286,0.877958,0.837014,0.154638,0.808383
CTGAN,Census,5,0.101724,0.101724,0.086171,0.143977,0.368201,0.469925,0.040125,0.110744,0.793452,0.703300,0.529324,0.877275,0.837749,0.161505,0.805312
CTGAN,Census,42,0.089069,0.089069,0.060967,0.098105,0.295082,0.384151,0.029332,0.062198,0.787680,0.684291,0.484773,0.883808,0.843355,0.157926,0.810379
Alpha,Capture-24,0,0.126780,0.126780,0.065014,0.007275,0.144412,0.017631,0.003885,0.000639,0.960797,0.565959,0.146611,0.985306,0.896901,0.024059,0.971110
Alpha,Capture-24,3,0.047995,0.047995,0.024279,0.013137,0.205251,0.157256,0.002957,0.002395,0.901183,0.619757,0.279042,0.960471,0.881882,0.061282,0.925051
Alpha,Capture-24,4,0.352306,0.352306,0.177414,0.015437,0.465671,0.113365,0.011392,0.008870,0.968645,0.682763,0.380174,0.985352,0.879431,0.022289,0.971380
Alpha,Capture-24,5,0.469889,0.469889,0.235909,0.009113,0.669138,0.199250,0.010105,0.008175,0.931818,0.661293,0.351901,0.970685,0.923110,0.042475,0.943908
Alpha,Capture-24,42,0.155938,0.155938,0.082661,0.016961,0.189756,0.033817,0.010408,0.001024,0.929955,0.580768,0.189245,0.972290,0.957780,0.036585,0.946412
RL (ours),Capture-24,0,0.150974,0.150974,0.075970,0.006075,0.216176,0.065203,0.003740,0.002774,0.963651,0.608822,0.231967,0.985676,0.863312,0.024050,0.971877
RL (ours),Capture-24,3,0.263452,0.263452,0.139474,0.005439,0.461814,0.198362,0.023923,0.008428,0.904637,0.654687,0.352081,0.957293,0.814261,0.069906,0.919869
RL (ours),Capture-24,4,0.053718,0.053718,0.031819,0.012271,0.146797,0.093079,0.025186,0.015267,0.954397,0.556797,0.135961,0.977633,0.773667,0.034697,0.956395
RL (ours),Capture-24,5,0.061755,0.061755,0.030908,0.025068,0.217794,0.279550,0.008214,0.008153,0.935723,0.682262,0.392384,0.972140,0.895200,0.047222,0.946722
RL (ours),Capture-24,42,0.101549,0.101549,0.053623,0.000735,0.135540,0.237089,0.010260,0.004563,0.935826,0.626162,0.278956,0.973369,0.934708,0.037928,0.948635
GroupDRO,Capture-24,0,0.189549,0.189549,0.098083,0.002274,0.787353,0.597804,0.084249,0.090867,0.930756,0.626313,0.302973,0.949654,0.898672,0.070211,0.906091
GroupDRO,Capture-24,3,0.117223,0.117223,0.062433,0.061698,0.809368,0.692145,0.095738,0.103381,0.898126,0.726368,0.518425,0.934310,0.899795,0.104520,0.884390
GroupDRO,Capture-24,4,0.121459,0.121459,0.087055,0.060377,0.748348,0.626889,0.202137,0.149485,0.880230,0.538998,0.177824,0.900172,0.828512,0.163748,0.821961
GroupDRO,Capture-24,5,0.124768,0.124768,0.072501,0.083548,0.953661,0.828893,0.081233,0.101468,0.919880,0.734783,0.523092,0.946473,0.943920,0.068841,0.903750
GroupDRO,Capture-24,42,0.239600,0.239600,0.121114,0.008711,0.780309,0.540709,0.141269,0.143896,0.881837,0.617204,0.320487,0.913921,0.884714,0.090446,0.847199
OT Repair,Capture-24,0,0.158328,0.158328,0.080252,0.007583,0.243824,0.085496,0.005542,0.003367,0.964168,0.621499,0.257560,0.985439,0.860661,0.025985,0.971439
OT Repair,Capture-24,3,0.030912,0.030912,0.017913,0.028317,0.290274,0.259362,0.006058,0.010971,0.912349,0.676969,0.392002,0.961936,0.869743,0.064951,0.928357
OT Repair,Capture-24,4,0.030050,0.030050,0.016321,0.000040,0.170066,0.140016,0.009030,0.011622,0.961530,0.594841,0.206723,0.982960,0.810270,0.030156,0.966637
OT Repair,Capture-24,5,0.157852,0.157852,0.081751,0.026422,0.425394,0.267542,0.006420,0.012069,0.935639,0.684138,0.396503,0.971773,0.924623,0.047959,0.946069
OT Repair,Capture-24,42,0.004339,0.012753,0.008546,0.011061,0.228339,0.232678,0.015943,0.003191,0.938486,0.650444,0.327480,0.973408,0.944226,0.041832,0.948838
FLB,Capture-24,0,0.074161,0.074161,0.048390,0.016312,0.860588,0.786427,0.144517,0.167135,0.892917,0.574095,0.235483,0.912708,0.885595,0.155747,0.843307
FLB,Capture-24,3,0.078446,0.078446,0.042653,0.055376,0.846659,0.768212,0.123014,0.116154,0.890498,0.720959,0.515704,0.926215,0.909045,0.108515,0.871940
